stage_index,label,E_el,E_d,E_hist,log10_E_total,grad_logEel,grad_logEd,grad_logEhist,alpha_max,psi_raw_max,psi_active_max,branch
4,r2_alpha,0.005029787775129,0.0054744756780564,8.13517181086354e-06,-1.978298306465149,1.1501460075378418,2.5758213996887207,970.1890869140624,1.0004925727844238,1401.7572021484375,0.3121501505374908,smallStagger_r6
5,r3_uv,0.0048631285317242,0.0054744756780564,8.13517181086354e-06,-1.9852384328842163,0.0083063943311572,0.0,0.0,1.0004925727844238,2538.9072265625,0.4885201752185821,smallStagger_r6
6,r3_alpha,0.0048499093391001,0.0054836515337228,6.973598829063121e-06,-1.985457181930542,1.0899583101272583,2.450474262237549,1106.1263427734375,1.0006098747253418,2538.9072265625,0.3281601071357727,smallStagger_r6
7,r4_uv,0.0048455838114023,0.0054836515337228,6.973598829063121e-06,-1.985638737678528,0.0052864882163703,0.0,0.0,1.0006098747253418,2613.94677734375,0.3348705470561981,smallStagger_r6
8,r4_alpha,0.0048454441130161,0.005482854321599,6.987619599385653e-06,-1.985677480697632,1.0827279090881348,2.3657641410827637,1138.1356201171875,1.0006237030029297,2613.94677734375,0.3422959446907043,smallStagger_r6
9,r5_uv,0.0048441858962178,0.005482854321599,6.987619599385653e-06,-1.985730528831482,0.002372138435021,0.0,0.0,1.0006237030029297,2633.8828125,0.3417649567127228,smallStagger_r6
10,r5_alpha,0.0048444950953125,0.005482105538249,7.029600510577438e-06,-1.9857470989227295,1.077942132949829,2.3266706466674805,1099.0579833984375,1.00062894821167,2633.8828125,0.3510274887084961,smallStagger_r6
11,r6_uv,0.0048439339734613,0.005482105538249,7.029600510577438e-06,-1.9857707023620603,0.004217691719532,0.0,0.0,1.00062894821167,2643.45654296875,0.3502680659294128,smallStagger_r6
12,r6_alpha,0.0048436601646244,0.0054823816753923,6.809091701143188e-06,-1.9857800006866455,1.063206672668457,2.381622791290283,1149.3824462890625,1.000631332397461,2643.45654296875,0.3500888049602508,smallStagger_r6
0,initial_joint,0.0049153002910315,0.0054607628844678,2.3400720237987116e-05,-1.9829890727996824,0.0,0.0,0.0,1.0005369186401367,2703.6845703125,0.923909068107605,alphaLR1e6_r6
0,initial_uv,0.0223327539861202,0.0050851400010287,0.0,-1.5619659423828125,0.0,0.0,0.0,0.9366666674613952,2703.6845703125,43.38181686401367,alphaLR1e6_r6
1,r1_uv,0.0075220353901386,0.0050851400010287,0.0,-1.8993821144104004,0.2311512529850006,0.0,0.0,0.9366666674613952,56.13855743408203,0.9001356363296509,alphaLR1e6_r6
2,r1_alpha,0.0070216301828622,0.0054220580495893,8.497278031427413e-06,-1.904754400253296,0.8800593018531799,2.70914077758789,999.8212890625,1.0004876852035522,56.13855743408203,0.2230508178472519,alphaLR1e6_r6
3,r2_uv,0.0054890643805265,0.0054220580495893,8.497278031427413e-06,-1.961792588233948,0.0080190123990178,0.0,0.0,1.0004876852035522,1423.3768310546875,7.035637855529785,alphaLR1e6_r6
4,r2_alpha,0.0050244559533894,0.0054739941842854,1.0020119589171372e-05,-1.978460431098938,1.174130916595459,2.928410291671753,842.2623901367188,1.0004923343658447,1423.3768310546875,0.2914975583553314,alphaLR1e6_r6
5,r3_uv,0.0048630833625793,0.0054739941842854,1.0020119589171372e-05,-1.985181450843811,0.0231250971555709,0.0,0.0,1.0004923343658447,2544.619873046875,0.4505613446235657,alphaLR1e6_r6
6,r3_alpha,0.0048514744266867,0.0054816552437841,8.060268555709627e-06,-1.985429644584656,1.1220595836639404,2.3960399627685547,1025.4591064453125,1.000614881515503,2544.619873046875,0.3560222387313843,alphaLR1e6_r6
7,r4_uv,0.0048476248048245,0.0054816552437841,8.060268555709627e-06,-1.9855912923812864,0.0048162783496081,0.0,0.0,1.000614881515503,2610.966552734375,0.3627706468105316,alphaLR1e6_r6
8,r4_alpha,0.0048462492413818,0.0054820608347654,7.621057193318848e-06,-1.9856505393981936,1.084238886833191,2.416700601577759,1054.1776123046875,1.0006296634674072,2610.966552734375,0.3476326167583465,alphaLR1e6_r6
9,r5_uv,0.004844956099987,0.0054820608347654,7.621057193318848e-06,-1.985704779624939,0.0029164194129407,0.0,0.0,1.0006296634674072,2631.53271484375,0.3489045798778534,alphaLR1e6_r6
10,r5_alpha,0.0048448988236486,0.0054816668853163,7.489436029572971e-06,-1.9857292175292969,1.0703964233398438,2.3920421600341797,1069.2039794921875,1.0006364583969116,2631.53271484375,0.3525440096855163,alphaLR1e6_r6
11,r6_uv,0.0048442822881042,0.0054816668853163,7.489436029572971e-06,-1.9857550859451296,0.0041732555255293,0.0,0.0,1.0006364583969116,2642.22021484375,0.3523204624652862,alphaLR1e6_r6
12,r6_alpha,0.0048444587737321,0.0054812813177704,7.4177837632305454e-06,-1.985766887664795,1.0629819631576538,2.3892037868499756,1094.288818359375,1.000637173652649,2642.22021484375,0.3573503792285919,alphaLR1e6_r6
