branch,selected_state,field,metric,PIDL,FEM22_projected,PIDL_over_FEM
shortAlpha_a500,r3_uv,eps_eq,p999,56.67506410980224,31.141321869303304,1.8199312266724335
shortAlpha_a500,r3_uv,eps_eq,max,60.00047302246094,34.033600800343166,1.7629775166739319
shortAlpha_a500,r3_uv,psi_raw,tip_2l0_mean,3.322425325133206,2.8790210039561908,1.154012186978738
shortAlpha_a500,r3_uv,psi_raw,p99,0.17262914270162516,156.2744430541712,0.0011046537061839647
shortAlpha_a500,r3_uv,psi_raw,p999,2161.645769775391,651.2774658203125,3.3190857709973174
shortAlpha_a500,r3_uv,psi_raw,max,2422.880126953125,685.90625,3.532377969953073
shortAlpha_a500,r3_uv,g_alpha,tip_2l0_mean,0.5496161119282781,0.5569531401259017,0.9868264892160137
shortAlpha_a500,r3_uv,g_alpha,p99,1.0001869201660156,1.0000028610229492,1.0001840586164705
shortAlpha_a500,r3_uv,g_alpha,p999,1.000256061553955,1.0000030994415283,1.000252961328388
shortAlpha_a500,r3_uv,g_alpha,max,1.0002975463867188,1.000003457069397,1.0002940883006382
shortAlpha_a500,r3_uv,psi_active,tip_2l0_mean,0.05782545417759702,0.05526433389245597,1.0463430951710189
shortAlpha_a500,r3_uv,psi_active,p99,0.03554225798696275,0.033885182105004706,1.0489026701058601
shortAlpha_a500,r3_uv,psi_active,p999,0.22680540485680675,0.10800871253013611,2.099880644290844
shortAlpha_a500,r3_uv,psi_active,max,1.0507358312606812,0.2543211281299591,4.131531811716999
smallStagger_r6,r6_uv,alpha,tip_2l0_mean,0.3230940184045341,0.314738863189609,1.0265463093125926
smallStagger_r6,r6_uv,alpha,p99,0.9354135692119596,0.9870517235994317,0.9476844494033546
smallStagger_r6,r6_uv,alpha,p999,1.0004086496829987,0.9968556761741638,1.0035641804463318
smallStagger_r6,r6_uv,alpha,max,1.00062894821167,0.9969969987869263,1.0036428890249045
smallStagger_r6,r6_uv,eps_eq,tip_2l0_mean,0.9271430711415184,0.8817975951126987,1.0514239053045096
smallStagger_r6,r6_uv,eps_eq,p99,0.35803728431463194,15.26583920748479,0.023453495051820504
smallStagger_r6,r6_uv,eps_eq,p999,59.06145481491089,31.141321869303304,1.8965622288862787
smallStagger_r6,r6_uv,eps_eq,max,62.670806884765625,34.033600800343166,1.841439207459168
smallStagger_r6,r6_uv,psi_raw,tip_2l0_mean,3.6130977720269026,2.8790210039561908,1.2549744399439895
smallStagger_r6,r6_uv,psi_raw,p99,0.07374169372021863,156.2744430541712,0.0004718730220952168
smallStagger_r6,r6_uv,psi_raw,p999,2347.5525649414067,651.2774658203125,3.6045352221492286
smallStagger_r6,r6_uv,psi_raw,max,2643.45654296875,685.90625,3.8539618832293043
smallStagger_r6,r6_uv,g_alpha,tip_2l0_mean,0.5438608166593061,0.5569531401259017,0.9764929533144637
smallStagger_r6,r6_uv,g_alpha,p99,1.000180959701538,1.0000028610229492,1.000178098169046
smallStagger_r6,r6_uv,g_alpha,p999,1.000257968902588,1.0000030994415283,1.000254868671109
smallStagger_r6,r6_uv,g_alpha,max,1.000307559967041,1.000003457069397,1.0003041018463428
smallStagger_r6,r6_uv,psi_active,tip_2l0_mean,0.057936808065451144,0.05526433389245597,1.0483580274068949
smallStagger_r6,r6_uv,psi_active,p99,0.03471399839967488,0.033885182105004706,1.0244595496669253
smallStagger_r6,r6_uv,psi_active,p999,0.13251824888587252,0.10800871253013611,1.2269218452992658
smallStagger_r6,r6_uv,psi_active,max,0.35026806592941284,0.2543211281299591,1.3772668771366272
alphaLR1e6_r6,r6_uv,alpha,tip_2l0_mean,0.32236388231011676,0.314738863189609,1.0242264938089778
alphaLR1e6_r6,r6_uv,alpha,p99,0.935254191160202,0.9870517235994317,0.9475229806090179
alphaLR1e6_r6,r6_uv,alpha,p999,1.0004175904989243,0.9968556761741638,1.0035731494637528
alphaLR1e6_r6,r6_uv,alpha,max,1.0006364583969116,0.9969969987869263,1.0036504218311726
alphaLR1e6_r6,r6_uv,eps_eq,tip_2l0_mean,0.9265054038112772,0.8817975951126987,1.0507007605218799
alphaLR1e6_r6,r6_uv,eps_eq,p99,0.35613315463065,15.26583920748479,0.02332876363954096
alphaLR1e6_r6,r6_uv,eps_eq,p999,59.06136708068848,31.141321869303304,1.8965594115934616
alphaLR1e6_r6,r6_uv,eps_eq,max,62.65611267089844,34.033600800343166,1.8410074513851225
alphaLR1e6_r6,r6_uv,psi_raw,tip_2l0_mean,3.6079895909789244,2.8790210039561908,1.2532001628404328
alphaLR1e6_r6,r6_uv,psi_raw,p99,0.07391487210988931,156.2744430541712,0.0004729811904321896
alphaLR1e6_r6,r6_uv,psi_raw,p999,2347.550612792969,651.2774658203125,3.604532224734854
alphaLR1e6_r6,r6_uv,psi_raw,max,2642.22021484375,685.90625,3.852159409312497
alphaLR1e6_r6,r6_uv,g_alpha,tip_2l0_mean,0.5447243039793359,0.5569531401259017,0.9780433302812488
alphaLR1e6_r6,r6_uv,g_alpha,p99,1.0001876378059387,1.0000028610229492,1.0001847762543403
alphaLR1e6_r6,r6_uv,g_alpha,p999,1.0002698900699616,1.0000030994415283,1.0002667898015338
alphaLR1e6_r6,r6_uv,g_alpha,max,1.0003023147583008,1.000003457069397,1.0002988566557356
alphaLR1e6_r6,r6_uv,psi_active,tip_2l0_mean,0.05814021241170665,0.05526433389245597,1.0520385991595795
alphaLR1e6_r6,r6_uv,psi_active,p99,0.03492991596460334,0.033885182105004706,1.030831584624842
alphaLR1e6_r6,r6_uv,psi_active,p999,0.1329771527498986,0.10800871253013611,1.2311706123966242
alphaLR1e6_r6,r6_uv,psi_active,max,0.35232046246528625,0.2543211281299591,1.3853369755628369
