label,field,metric,PIDL,FEM22_projected,PIDL_over_FEM
initial_joint,g_alpha,p999,1.0002305510044098,1.0000030994415283,1.000227450857911
initial_joint,g_alpha,max,1.0002899169921875,1.000003457069397,1.000286458932482
initial_uv,g_alpha,tip_2l0_mean,0.5889623404032539,0.5569531401259017,1.0574719809823074
initial_uv,g_alpha,domain_mean,0.9904399620868675,0.9886150670258633,1.0018459106298008
initial_uv,g_alpha,p99,1.0000009536743164,1.0000028610229492,0.9999980926568242
initial_uv,g_alpha,p999,1.0000009536743164,1.0000030994415283,0.9999978542394388
initial_uv,g_alpha,max,1.0000009536743164,1.000003457069397,0.9999974966135738
r1_uv,g_alpha,tip_2l0_mean,0.5889623404032539,0.5569531401259017,1.0574719809823074
r1_uv,g_alpha,domain_mean,0.9904399620868675,0.9886150670258633,1.0018459106298008
r1_uv,g_alpha,p99,1.0000009536743164,1.0000028610229492,0.9999980926568242
r1_uv,g_alpha,p999,1.0000009536743164,1.0000030994415283,0.9999978542394388
r1_uv,g_alpha,max,1.0000009536743164,1.000003457069397,0.9999974966135738
r1_alpha,g_alpha,tip_2l0_mean,0.5514319184318383,0.5569531401259017,0.9900867392671215
r1_alpha,g_alpha,domain_mean,0.9892648868752753,0.9886150670258633,1.000657303202314
r1_alpha,g_alpha,p99,1.0001890659332275,1.0000028610229492,1.0001862043775434
r1_alpha,g_alpha,p999,1.000232458114624,1.0000030994415283,1.0002293579622141
r1_alpha,g_alpha,max,1.0002615451812744,1.000003457069397,1.000258087219652
r2_uv,g_alpha,tip_2l0_mean,0.5514319184318383,0.5569531401259017,0.9900867392671215
r2_uv,g_alpha,domain_mean,0.9892648868752753,0.9886150670258633,1.000657303202314
r2_uv,g_alpha,p99,1.0001890659332275,1.0000028610229492,1.0001862043775434
r2_uv,g_alpha,p999,1.000232458114624,1.0000030994415283,1.0002293579622141
r2_uv,g_alpha,max,1.0002615451812744,1.000003457069397,1.000258087219652
r2_alpha,g_alpha,tip_2l0_mean,0.54753851156383,0.5569531401259017,0.9830961926887719
r2_alpha,g_alpha,domain_mean,0.9890934464133764,0.9886150670258633,1.0004838884247964
r2_alpha,g_alpha,p99,1.0001783394813537,1.0000028610229492,1.000175477956358
r2_alpha,g_alpha,p999,1.000235557794571,1.0000030994415283,1.0002324576325539
r2_alpha,g_alpha,max,1.0002706050872803,1.000003457069397,1.0002671470943372
r3_uv,g_alpha,tip_2l0_mean,0.54753851156383,0.5569531401259017,0.9830961926887719
r3_uv,g_alpha,domain_mean,0.9890934464133764,0.9886150670258633,1.0004838884247964
r3_uv,g_alpha,p99,1.0001783394813537,1.0000028610229492,1.000175477956358
r3_uv,g_alpha,p999,1.000235557794571,1.0000030994415283,1.0002324576325539
r3_uv,g_alpha,max,1.0002706050872803,1.000003457069397,1.0002671470943372
r3_alpha,g_alpha,tip_2l0_mean,0.5411021032437768,0.5569531401259017,0.971539729754389
r3_alpha,g_alpha,domain_mean,0.9892558337605601,0.9886150670258633,1.0006481458315464
r3_alpha,g_alpha,p99,1.0001816749572754,1.0000028610229492,1.000178813422737
r3_alpha,g_alpha,p999,1.0002505779266357,1.0000030994415283,1.0002474777180648
r3_alpha,g_alpha,max,1.000293254852295,1.000003457069397,1.0002897967810505
initial_joint,psi_active,tip_2l0_mean,0.06471796363933531,0.05526433389245597,1.171062040940836
initial_joint,psi_active,domain_mean,0.004910848814066392,0.004801877274287023,1.0226935287086338
initial_joint,psi_active,p99,0.03707803986966609,0.033885182105004706,1.094225781486646
initial_joint,psi_active,p999,0.19894381652773122,0.10800871253013611,1.8419237843634402
initial_joint,psi_active,max,0.923909068107605,0.2543211281299591,3.6328443291407697
initial_uv,psi_active,tip_2l0_mean,0.09027795551174919,0.05526433389245597,1.6335663375121738
initial_uv,psi_active,domain_mean,0.02232830181694528,0.004801877274287023,4.649910970550692
initial_uv,psi_active,p99,0.05399847734719483,0.033885182105004706,1.5935719979270666
initial_uv,psi_active,p999,34.41490026855496,0.10800871253013611,318.6307795211675
initial_uv,psi_active,max,43.38181686401367,0.2543211281299591,170.5788944198352
r1_uv,psi_active,tip_2l0_mean,0.025576349835318975,0.05526433389245597,0.46280029150609836
r1_uv,psi_active,domain_mean,0.007462434737654181,0.004801877274287023,1.554066110271882
r1_uv,psi_active,p99,0.06344602487981302,0.033885182105004706,1.8723825854972251
r1_uv,psi_active,p999,0.7824648349285147,0.10800871253013611,7.244460345828073
r1_uv,psi_active,max,0.8650023937225342,0.2543211281299591,3.4012211257592195
r1_alpha,psi_active,tip_2l0_mean,0.02098102239683555,0.05526433389245597,0.379648516847493
r1_alpha,psi_active,domain_mean,0.0070324841628725925,0.004801877274287023,1.4645280920714008
