saved_index,fem_cycle,selector,x,y,alpha_bar,psi_raw,g_alpha,psi_active,delta_alpha_bar
39,40,max_delta_alpha_bar,0.15666668117046356,-0.0006666667177341878,1.337680697441101,7.460550785064697,0.05611748248338699,0.4186673164367676,0.4186673164367676
39,40,max_psi_raw,-0.49933335185050964,-0.0006666667177341878,0.35000696778297424,2776.083984375,3.865880444209324e-06,0.010732009075582027,0.010732009075582027
39,40,max_psi_active,0.15666668117046356,-0.0006666667177341878,1.337680697441101,7.460550785064697,0.05611748248338699,0.4186673164367676,0.4186673164367676
39,40,max_delta_alpha_bar,0.15666668117046356,-0.0006666667177341878,1.337680697441101,7.460550785064697,0.05611748248338699,0.4186673164367676,0.4186673164367676
39,40,max_psi_raw,-0.49933335185050964,-0.0006666667177341878,0.35000696778297424,2776.083984375,3.865880444209324e-06,0.010732009075582027,0.010732009075582027
39,40,max_psi_active,0.15666668117046356,-0.0006666667177341878,1.337680697441101,7.460550785064697,0.05611748248338699,0.4186673164367676,0.4186673164367676
39,40,max_delta_alpha_bar,0.15666668117046356,-0.0006666667177341878,1.337680697441101,7.460550785064697,0.05611748248338699,0.4186673164367676,0.4186673164367676
39,40,max_psi_raw,-0.49933335185050964,-0.0006666667177341878,0.35000696778297424,2776.083984375,3.865880444209324e-06,0.010732009075582027,0.010732009075582027
39,40,max_psi_active,0.15666668117046356,-0.0006666667177341878,1.337680697441101,7.460550785064697,0.05611748248338699,0.4186673164367676,0.4186673164367676
39,40,max_delta_alpha_bar,0.15666668117046356,-0.0006666667177341878,1.337680697441101,7.460550785064697,0.05611748248338699,0.4186673164367676,0.4186673164367676
39,40,max_psi_raw,-0.49933335185050964,-0.0006666667177341878,0.35000696778297424,2776.083984375,3.865880444209324e-06,0.010732009075582027,0.010732009075582027
39,40,max_psi_active,0.15666668117046356,-0.0006666667177341878,1.337680697441101,7.460550785064697,0.05611748248338699,0.4186673164367676,0.4186673164367676
39,40,max_delta_alpha_bar,0.15666668117046356,-0.0006666667177341878,1.337680697441101,7.460550785064697,0.05611748248338699,0.4186673164367676,0.4186673164367676
68,69,max_psi_raw,-0.49933335185050964,-0.0006666667177341878,0.6753891706466675,2660.416259765625,3.5292805478093214e-06,0.009389355778694153,0.009389355778694153
68,69,max_psi_active,0.35866671800613403,-0.0006666667177341878,1.2341620922088623,13.032510757446289,0.026982279494404793,0.3516468405723572,0.3516468405723572
68,69,max_delta_alpha_bar,0.35866671800613403,-0.0006666667177341878,1.2341620922088623,13.032510757446289,0.026982279494404793,0.3516468405723572,0.3516468405723572
68,69,max_psi_raw,-0.49933335185050964,-0.0006666667177341878,0.6753891706466675,2660.416259765625,3.5292805478093214e-06,0.009389355778694153,0.009389355778694153
68,69,max_psi_active,0.35866671800613403,-0.0006666667177341878,1.2341620922088623,13.032510757446289,0.026982279494404793,0.3516468405723572,0.3516468405723572
68,69,max_delta_alpha_bar,0.35866671800613403,-0.0006666667177341878,1.2341620922088623,13.032510757446289,0.026982279494404793,0.3516468405723572,0.3516468405723572
68,69,max_psi_raw,-0.49933335185050964,-0.0006666667177341878,0.6753891706466675,2660.416259765625,3.5292805478093214e-06,0.009389355778694153,0.009389355778694153
68,69,max_psi_active,0.35866671800613403,-0.0006666667177341878,1.2341620922088623,13.032510757446289,0.026982279494404793,0.3516468405723572,0.3516468405723572
68,69,max_delta_alpha_bar,0.35866671800613403,-0.0006666667177341878,1.2341620922088623,13.032510757446289,0.026982279494404793,0.3516468405723572,0.3516468405723572
68,69,max_psi_raw,-0.49933335185050964,-0.0006666667177341878,0.6753891706466675,2660.416259765625,3.5292805478093214e-06,0.009389355778694153,0.009389355778694153
68,69,max_psi_active,0.35866671800613403,-0.0006666667177341878,1.2341620922088623,13.032510757446289,0.026982279494404793,0.3516468405723572,0.3516468405723572
68,69,max_delta_alpha_bar,0.35866671800613403,-0.0006666667177341878,1.2341620922088623,13.032510757446289,0.026982279494404793,0.3516468405723572,0.3516468405723572
68,69,max_psi_raw,-0.49933335185050964,-0.0006666667177341878,0.6753891706466675,2660.416259765625,3.5292805478093214e-06,0.009389355778694153,0.009389355778694153
68,69,max_psi_active,0.35866671800613403,-0.0006666667177341878,1.2341620922088623,13.032510757446289,0.026982279494404793,0.3516468405723572,0.3516468405723572
68,69,max_delta_alpha_bar,0.35866671800613403,-0.0006666667177341878,1.2341620922088623,13.032510757446289,0.026982279494404793,0.3516468405723572,0.3516468405723572
