saved_index,fem_cycle,field,metric,FEM_nstep2_projected,PIDL_resstiff,PIDL_over_FEM
2,3,delta_alpha_bar,tip_2l0_mean,0.0567145000160518,0.055720798671245575,0.982478883803525
2,3,delta_alpha_bar,tip_2l0_integral,7.168713248163523e-05,7.043109508231282e-05,0.9824789002455332
2,3,delta_alpha_bar,right_band_mean,0.008559855714840628,0.008581322617828846,1.0025078580414621
2,3,psi_raw,max,663.0670776367188,2783.668701171875,4.198170584932874
2,3,psi_raw,p999,638.0804443359375,2534.90283203125,3.9727010199621016
2,3,psi_raw,p99,158.39109268185703,0.05422219634056091,0.00034233109591251537
2,3,psi_raw,domain_mean,0.8952262156304751,1.8606245517730713,2.0783847917843885
2,3,psi_raw,tip_2l0_mean,3.038979519465806,6.852850914001465,2.2549842373422986
2,3,psi_raw,tip_2l0_integral,0.003841270351660723,0.00866200402379036,2.254984218969502
2,3,psi_raw,right_band_mean,0.008559780438886833,0.008580237627029419,1.0023899197285073
2,3,g_alpha,max,1.0000131258612277,1.0003340244293213,1.0003208943560788
2,3,g_alpha,p999,1.0000124634814251,1.0002923011779785,1.0002798342088448
2,3,g_alpha,p99,1.0000106767810095,1.0002367496490479,1.0002260704543335
2,3,g_alpha,domain_mean,0.988547794433114,0.9894328713417053,1.0008953304165722
2,3,g_alpha,tip_2l0_mean,0.5555037815491315,0.5487581491470337,0.9878567300058944
2,3,g_alpha,tip_2l0_integral,0.0007021568235758239,0.0006936303107067943,0.9878566830332757
2,3,g_alpha,right_band_mean,1.0000103301209624,1.0001271963119507,1.0001168649837588
2,3,psi_active,max,0.25645054631115255,0.4295715093612671,1.67506568241062
2,3,psi_active,p999,0.10808322185072357,0.10985235869884491,1.016368283789363
2,3,psi_active,p99,0.03412808018950954,0.03508371114730835,1.0280013101379362
2,3,psi_active,domain_mean,0.004788760633967184,0.004784354940056801,0.9990799928734936
2,3,psi_active,tip_2l0_mean,0.05568635026378802,0.055720798671245575,1.000618614926178
2,3,psi_active,tip_2l0_integral,7.038755111389623e-05,7.043109508231282e-05,1.0006186316717587
2,3,psi_active,right_band_mean,0.008559868413014354,0.008581322617828846,1.0025063708668551
3,4,alpha_bar,max,0.9556826949119568,1.7029584646224976,1.781928744434767
3,4,alpha_bar,p999,0.4451602101325989,0.438953161239624,0.9860565954645273
3,4,alpha_bar,p99,0.14390133470296684,0.14008772373199463,0.9734984322498186
3,4,alpha_bar,domain_mean,0.01936184329136368,0.019141044467687607,0.9885961878549776
3,4,alpha_bar,tip_2l0_mean,0.22567338884295654,0.22287258505821228,0.9875891269276179
3,4,alpha_bar,tip_2l0_integral,0.00028525118124969476,0.00028171096346341074,0.9875891213814638
3,4,alpha_bar,right_band_mean,0.034241069863258984,0.03432650491595268,1.002495104651662
3,4,delta_alpha_bar,max,0.22345608472824097,0.42831507325172424,1.916775163104756
3,4,delta_alpha_bar,p999,0.11192852258682251,0.1096118688583374,0.9793023826729412
3,4,delta_alpha_bar,p99,0.03600587055087038,0.03478571027517319,0.9661121851234424
3,4,delta_alpha_bar,domain_mean,0.004844071287280193,0.0047838748432695866,0.9875731713179629
3,4,delta_alpha_bar,tip_2l0_mean,0.0561993509223065,0.055576127022504807,0.9889104786874982
3,4,delta_alpha_bar,tip_2l0_integral,7.103598398661788e-05,7.024822843959555e-05,0.9889104718086156
3,4,delta_alpha_bar,right_band_mean,0.008559859067192496,0.008581428788602352,1.0025198687549106
3,4,psi_raw,max,662.9866943359375,2780.628662109375,4.194094219182658
3,4,psi_raw,p999,638.0891723632812,2541.029296875,3.9822479473579344
3,4,psi_raw,p99,158.57408187863436,0.05392424017190933,0.0003400570858305872
3,4,psi_raw,domain_mean,0.8955214606671066,1.860506534576416,2.077567781782088
3,4,psi_raw,tip_2l0_mean,3.0563902709335427,6.900477409362793,2.2577212978940393
3,4,psi_raw,tip_2l0_integral,0.0038632775428855287,0.00872220378369093,2.2577212449448325
3,4,psi_raw,right_band_mean,0.00855975969961872,0.008579980581998825,1.002362318930636
3,4,g_alpha,max,1.000016704695938,1.0003631114959717,1.00034640101351
3,4,g_alpha,p999,1.0000158115007527,1.000316858291626,1.000301042030947
3,4,g_alpha,p99,1.0000134941645746,1.0002810955047607,1.0002675977291784
3,4,g_alpha,domain_mean,0.9885486727444953,0.9894503951072693,1.0009121678958615
3,4,g_alpha,tip_2l0_mean,0.5551246083540412,0.5479599833488464,0.9870936634813613
3,4,g_alpha,tip_2l0_integral,0.0007016775486274028,0.000692621455527842,0.9870936541759445
3,4,g_alpha,right_band_mean,1.0000130616109206,1.0001699924468994,1.000156928786236
3,4,psi_active,max,0.23309581107668254,0.42831507325172424,1.8375065226325307
3,4,psi_active,p999,0.10652490821376476,0.1096118688583374,1.0289787684057705
3,4,psi_active,p99,0.03415310919805774,0.03478571027517319,1.0185225032791867
3,4,psi_active,domain_mean,0.0047876456957315515,0.0047838748432695866,0.9992123785464478
3,4,psi_active,tip_2l0_mean,0.055039112644091844,0.055576127022504807,1.0097569592352542
3,4,psi_active,tip_2l0_integral,6.956944271168647e-05,7.024822843959555e-05,1.009756952211363
3,4,psi_active,right_band_mean,0.008559870919209855,0.008581428788602352,1.002518480663548
19,20,alpha_bar,max,2.3945114612579346,2.472960948944092,1.032762210144087
19,20,alpha_bar,p999,1.1583194253444706,1.310044765472412,1.1309874778995614
19,20,alpha_bar,p99,0.677829414010042,0.6705507636070251,0.9892618256856746
19,20,alpha_bar,domain_mean,0.09255868067561585,0.09227801114320755,0.9969676584588328
19,20,alpha_bar,tip_2l0_mean,0.4711684432030364,0.4706607162952423,0.9989224089280204
19,20,alpha_bar,tip_2l0_integral,0.0005955569492722696,0.000594915181864053,0.9989224079930545
19,20,alpha_bar,right_band_mean,0.17089664378161334,0.1714443415403366,1.003204847951392
19,20,delta_alpha_bar,max,0.2915639281272888,0.4794183671474457,1.6442993144822249
19,20,delta_alpha_bar,p999,0.1082409462928785,0.10733436793088913,0.9916244416458042
19,20,delta_alpha_bar,p99,0.041770939528942015,0.034735362976789474,0.8315676728487812
19,20,delta_alpha_bar,domain_mean,0.004272547468768581,0.00431860564276576,1.0107800262803057
19,20,delta_alpha_bar,tip_2l0_mean,0.0032813145637630185,0.0012614612933248281,0.38443778211808555
19,20,delta_alpha_bar,tip_2l0_integral,4.1475818667152575e-06,1.5944871165629593e-06,0.38443776827140447
19,20,delta_alpha_bar,right_band_mean,0.008515205600063297,0.008552350103855133,1.004362138219136
19,20,psi_raw,max,842.2301635742188,2800.923583984375,3.325603504982463
19,20,psi_raw,p999,654.114823425293,2589.395751953125,3.9586257018204725
19,20,psi_raw,p99,401.088198852539,0.0575900599360466,0.0001435845285421118
