comparison,field,left_area_weighted_mean,right_area_weighted_mean,right_minus_left_area_weighted_mean,left_area_weighted_integral,right_area_weighted_integral,right_minus_left_area_weighted_integral,left_support_area_abs_1e15,right_support_area_abs_1e15,right_minus_left_support_area_abs_1e15,left_support_area_rel_1pct,right_support_area_rel_1pct,right_minus_left_support_area_rel_1pct,left_weighted_centroid_x,right_weighted_centroid_x,right_minus_left_weighted_centroid_x,left_weighted_centroid_y,right_weighted_centroid_y,right_minus_left_weighted_centroid_y,left_weighted_rms_width_x,right_weighted_rms_width_x,right_minus_left_weighted_rms_width_x,left_weighted_rms_width_y,right_weighted_rms_width_y,right_minus_left_weighted_rms_width_y,case_id,start_cycle,end_cycle
P0_parent_c60_to_c61,ordinary_degradation_deficit,0.019727314369362616,0.019974315586635618,0.00024700121727300184,0.019727314369362613,0.019974315586635615,0.00024700121727300184,0.04768440924996798,0.04819968532634502,0.0005152760763770386,0.03801745426149628,0.03846104369323685,0.0004435894317405681,-0.04483238400192992,-0.03966258272442817,0.0051698012775017455,-0.0005793434392842472,-0.0005810065236426282,-1.6630843583810128e-06,0.253351991965977,0.2560103711287964,0.0026583791628193576,0.0142234069246851,0.014282667397436796,5.9260472751695645e-05,P0_parent,60,61
P0_parent_c60_to_c61,raw_driver,3.685322126887113,3.7329428488163434,0.04762072192923039,3.6853221268871126,3.732942848816343,0.04762072192923039,0.9999999999999999,0.9999999999999999,0.0,0.001757683734161763,0.001777365553519921,1.9681819358158053e-05,-0.13291493305989466,-0.12794355405110738,0.0049713790087872745,-0.00031209792931252505,-0.00031236338944002284,-2.6546012749778785e-07,0.22379575932716464,0.22654113533143194,0.0027453760042673025,0.0051861505857723235,0.004977706483760326,-0.00020844410201199728,P0_parent,60,61
P0_parent_c60_to_c61,raw_cyclemax_driver,3.685352923016803,3.7330167225518305,0.04766379953502753,3.6853529230168025,3.73301672255183,0.04766379953502753,0.9999999999999999,0.9999999999999999,0.0,0.001757683734161763,0.001777365553519921,1.9681819358158053e-05,-0.132910809254081,-0.12793375833752108,0.004977050916559922,-0.00031209755594615793,-0.00031236200336368173,-2.6444741752380254e-07,0.2237993709694144,0.22654959581569378,0.0027502248462793755,0.005186137594226182,0.004977731427079734,-0.00020840616714644725,P0_parent,60,61
P0_parent_c60_to_c61,active_driver,0.0016620336518824166,0.0015811892712700732,-8.084438061234335e-05,0.0016620336518824164,0.001581189271270073,-8.084438061234335e-05,0.9999999999999999,0.9999999999999999,0.0,0.006952962000416693,0.0069117727507284525,-4.1189249688240205e-05,0.362279605949835,0.36477318018874216,0.0024935742389071702,-0.0003198951486946546,-0.00030198081639557753,1.7914332299077095e-05,0.161327554821324,0.16443825763320605,0.0031107028118820546,0.2407942713661298,0.23821539805683103,-0.0025788733092987626,P0_parent,60,61
T3_loading_history_c60_to_c61,damage,0.015334041866623325,0.015437438328897397,0.00010339646227407184,0.015334041866623323,0.015437438328897395,0.00010339646227407184,0.050080956402903797,0.05038155775127036,0.0003006013483665623,0.038008592736939927,0.03825203641754784,0.00024344368060791322,-0.03368820780110226,-0.030770682239224113,0.0029175255618781454,-0.00042968450265840513,-0.0004234048183976432,6.279684260761915e-06,0.2628044549087822,0.2643390355043872,0.0015345805956050174,0.0119623443470882,0.012007584742054366,4.524039496616589e-05,T3_loading_history,60,61
T3_loading_history_c60_to_c61,history,0.20444991341482607,0.20571546789047854,0.001265554475652464,0.20444991341482605,0.2057154678904785,0.001265554475652464,0.9999999999999999,0.9999999999999999,0.0,0.520018873388626,0.5162918573707963,-0.003727016017829654,0.26234841168043366,0.2631866676193451,0.0008382559389114586,-0.00024401062656048092,-0.0002394285756173445,4.582050943136419e-06,0.1607165447361933,0.16087378242706415,0.00015723769087086503,0.26833960231188797,0.2681400418939013,-0.00019956041798668833,T3_loading_history,60,61
T3_loading_history_c60_to_c61,fatigue_degradation_deficit,0.012370747000704379,0.01290109496882681,0.0005303479681224316,0.012370747000704377,0.012901094968826809,0.0005303479681224316,0.10946071208171226,0.11703370671099106,0.007572994629278795,0.09574139987057756,0.10115095636687985,0.005409556496302287,0.28059677743537004,0.28552525374666915,0.004928476311299113,0.0005587149075362854,0.0006468640669228475,8.814915938656215e-05,0.17910722302906323,0.177949760439054,-0.001157462590009234,0.2688854735019014,0.2687427537705562,-0.00014271973134521998,T3_loading_history,60,61
T3_loading_history_c60_to_c61,ordinary_degradation_deficit,0.02062908201509823,0.02076810044167187,0.0001390184265736387,0.020629082015098228,0.020768100441671867,0.0001390184265736387,0.050080956402903797,0.05038155775127036,0.0003006013483665623,0.03968560115390076,0.039943830856043826,0.0002582297021430646,-0.03159324409096209,-0.028682850959336145,0.002910393131625947,-0.0004996175867575305,-0.0004942629860398696,5.3546007176608935e-06,0.26329291484553236,0.2648115605543866,0.0015186457088542382,0.013878717048845744,0.013930771377276253,5.2054328430509514e-05,T3_loading_history,60,61
T3_loading_history_c60_to_c61,raw_driver,4.253168512562936,3.8846908881351943,-0.36847762442774146,4.253168512562935,3.884690888135194,-0.368477624427741,0.9999999999999999,0.9999999999999999,0.0,0.001842665124679366,0.0018546622369732472,1.1997112293881144e-05,-0.1147603342132421,-0.11188882601113065,0.0028715082021114474,-0.00033575177016372047,-0.0003341028474283696,1.6489227353508914e-06,0.23366983853688683,0.23522384334052263,0.0015540048036357945,0.00442041520178581,0.00429966784294169,-0.00012074735884412026,T3_loading_history,60,61
T3_loading_history_c60_to_c61,raw_cyclemax_driver,4.253245638582195,3.884731096696393,-0.3685145418858018,4.253245638582194,3.8847310966963926,-0.36851454188580135,0.9999999999999999,0.9999999999999999,0.0,0.001842665124679366,0.0018546622369732472,1.1997112293881144e-05,-0.11475113122441429,-0.11188350944022032,0.0028676217841939605,-0.00033573484487161106,-0.0003340916995167955,1.6431453548155432e-06,0.2336777141654063,0.23522843087802592,0.0015507167126196097,0.004420473013355272,0.004299663348806703,-0.00012080966454856932,T3_loading_history,60,61
T3_loading_history_c60_to_c61,active_driver,0.001507031743216646,0.0013208568633881418,-0.0001861748798285042,0.0015070317432166458,0.0013208568633881416,-0.0001861748798285042,0.9999999999999999,0.9999999999999999,0.0,0.010054303368127758,0.010099416843153696,4.511347502593813e-05,0.3700443443604944,0.370940762013516,0.0008964176530216195,0.0004211146794451975,0.00048115017259906163,6.00354931538641e-05,0.17517476793723,0.1775624347029727,0.002387666765742702,0.23059236705662964,0.22873070873097415,-0.0018616583256554908,T3_loading_history,60,61
