case_id,cycle,load_factor,threshold,support_area,centroid_x,centroid_y,rms_width_x,rms_width_y,crack_tip_x,damaged_component_size,right_boundary_connected_size,event_hit_reconstructed
P0_parent,17,1.0,0.0038789320422575138,0.0014958674732381224,0.05111276275931812,-0.0002997399103603342,0.0069675903376314775,0.007720160360880784,0.0468398700470314,556,0,False
P0_parent,18,1.0,0.00464353191922947,0.001470924275372923,0.05705790342147106,-0.00040788989604010923,0.006907985465276936,0.0074956468548270675,0.05471833621241141,563,0,False
P0_parent,19,1.0,0.003954912061853576,0.0014192049138946228,0.06258385081872109,-0.00013377589021010746,0.006842433089118843,0.007423049171252002,0.05868224548602132,568,0,False
P0_parent,20,1.0,0.003181548075381594,0.0016177759088662094,0.06651680933209528,-0.0011494471754507187,0.007755446909734543,0.008189499966182248,0.06267126380423246,572,0,False
P0_parent,21,1.0,0.004306423845293859,0.0015134959474634967,0.07225824932589937,-0.0005931986575591304,0.006970658942217897,0.007613570002914104,0.06867592152878577,578,0,False
P0_parent,22,1.0,0.0036165781989266066,0.0014835487163355782,0.07749245496503303,-0.0011657665029244644,0.009051251785395903,0.009990499144806646,0.07269096030067296,582,0,False
P0_parent,23,1.0,0.004286689017606645,0.001575268527212118,0.08258872480422119,-0.0009790508935370937,0.007221055810728096,0.007916914285424308,0.0787490734675777,588,0,False
P0_parent,24,1.0,0.005336559744208613,0.0015296873349960128,0.08962842793219286,-0.0010911368177859897,0.007130225690155627,0.0075271824008030525,0.08689058612871807,596,0,False
P0_parent,25,1.0,0.004686397021888541,0.001571968887707844,0.0962220738210488,-0.0006851815843876099,0.007260637091306052,0.007864518475443692,0.09295166126136008,602,0,False
P0_parent,26,1.0,0.004652928093330888,0.001545700311472956,0.1028862322891688,-0.00029536886140912216,0.0071311896069232265,0.007500058053186003,0.09900988323987968,608,0,False
P0_parent,27,1.0,0.005427436741837814,0.0015724740417597332,0.10989634835293868,0.000167236763001822,0.007357591394987898,0.007483537489999346,0.1071305635773052,616,0,False
P0_parent,28,1.0,0.00349637532596684,0.0016125602214033927,0.11571410458385957,0.00019095929780530351,0.00928696551473387,0.010762652031659402,0.1130355663120901,621,0,False
P0_parent,29,1.0,0.004604566985317908,0.0016459017971986382,0.12152176329346567,0.0006804237668680857,0.009106682968023293,0.010318614692333488,0.1187941730734323,628,0,False
P0_parent,30,1.0,0.004893205199700335,0.0014282275119964442,0.12882064901132437,0.0006880272162992397,0.008466210788268444,0.009889723429941372,0.1246140680717723,634,0,False
