cycle,path,n_elem,alpha_max,hist_max,hist_mean,f_min,psi_max,E_el,E_d,E_hist
38,,67276,1.001250147819519,7.034866809844971,0.21972234547138214,0.017613627016544342,0.38192301988601685,0.003489335998892784,0.005963978823274374,0.0
39,,67276,1.001220703125,7.127351760864258,0.22451582551002502,0.01718907430768013,0.4301707446575165,0.0034403109457343817,0.005989034194499254,0.0
40,,67276,1.0011467933654785,7.20160436630249,0.22925758361816406,0.01685922220349312,0.3894275426864624,0.0033862898126244545,0.006017585285007954,0.0
41,,67276,1.0011595487594604,7.261992454528809,0.2339525669813156,0.016597917303442955,0.36600565910339355,0.0033340007066726685,0.006045300979167223,0.0
42,,67276,1.0011318922042847,7.321109771728516,0.23860052227973938,0.016347946599125862,0.417654812335968,0.0032822387292981148,0.006072514690458775,0.0
43,,67276,1.0011725425720215,7.381838321685791,0.2431965172290802,0.016096999868750572,0.40675264596939087,0.003228100948035717,0.006101528648287058,0.0
44,,67276,1.0011931657791138,7.443521022796631,0.24774186313152313,0.015847980976104736,0.38498830795288086,0.0031722390558570623,0.006133114919066429,0.0
45,,67276,1.0011897087097168,7.506289005279541,0.25223463773727417,0.01560046337544918,0.38189801573753357,0.0031175590120255947,0.006164262071251869,0.0
46,,67276,1.0011895895004272,7.562684059143066,0.2566785216331482,0.015382988378405571,0.3671730160713196,0.0030640014447271824,0.00619412399828434,0.0
47,,67276,1.001186490058899,7.616560935974121,0.26106733083724976,0.01517944410443306,0.33982962369918823,0.00300381937995553,0.00622864905744791,0.0
48,,67276,1.0012047290802002,7.666872978210449,0.2654013931751251,0.014992996118962765,0.3567081093788147,0.0029422780498862267,0.006264197640120983,0.0
49,,67276,1.0011576414108276,7.719279766082764,0.26967889070510864,0.014802410267293453,0.35765016078948975,0.0028825951740145683,0.006298599299043417,0.0
50,,67276,1.0011467933654785,7.772056579589844,0.2738862931728363,0.01461413037031889,0.3611232042312622,0.0028185080736875534,0.006336778402328491,0.0
51,,67276,1.001164436340332,7.826254844665527,0.27803701162338257,0.014424494467675686,0.3844047486782074,0.00276145339012146,0.0063699414022266865,0.0
52,,67276,1.0011943578720093,7.878851413726807,0.2821293771266937,0.01424397062510252,0.3674665093421936,0.0026946156285703182,0.006410981994122267,0.0
53,,67276,1.0011731386184692,7.923292636871338,0.2861630320549011,0.014094065874814987,0.35016971826553345,0.0026317774318158627,0.006449142470955849,0.0
54,,67276,1.0011639595031738,7.970653533935547,0.29013001918792725,0.013936898671090603,0.4357732832431793,0.0025671455077826977,0.006489771418273449,0.0
55,,67276,1.0011323690414429,8.019970893859863,0.29403531551361084,0.013776020146906376,0.40988025069236755,0.002503907075151801,0.006529893260449171,0.0
56,,67276,1.001121997833252,8.074214935302734,0.29787343740463257,0.013602265156805515,0.3626176416873932,0.002441567834466696,0.006568402983248234,0.0
57,,67276,1.0011253356933594,8.129136085510254,0.30164796113967896,0.013429670594632626,0.4011838138103485,0.002375812502577901,0.006611768621951342,0.0
58,,67276,1.0011790990829468,8.188053131103516,0.30536115169525146,0.013248144648969173,0.3591350018978119,0.002311167772859335,0.006652750540524721,0.0
59,,67276,1.001147747039795,8.249906539916992,0.30901479721069336,0.013061503879725933,0.3591987192630768,0.002244751201942563,0.00669525284320116,0.0
60,,67276,1.0011756420135498,8.313889503479004,0.31260618567466736,0.012872555293142796,0.3647052049636841,0.0021758966613560915,0.006740198470652103,0.0
61,,67276,1.001255750656128,8.366216659545898,0.31613805890083313,0.012721060775220394,0.38885483145713806,0.0021089843939989805,0.006784969475120306,0.0
62,,67276,1.0012670755386353,8.411784172058105,0.3196047246456146,0.012591302394866943,0.39014434814453125,0.0020389962010085583,0.006831592880189419,0.0
63,,67276,1.0012706518173218,8.453901290893555,0.3230113089084625,0.01247312780469656,0.3975897431373596,0.00197104224935174,0.0068754348903894424,0.0
64,,67276,1.0012297630310059,8.490750312805176,0.32635998725891113,0.012371093966066837,0.39487648010253906,0.0019055362790822983,0.006917816586792469,0.0
65,,67276,1.0012556314468384,8.527922630310059,0.32964885234832764,0.012269428931176662,0.36336442828178406,0.0018377372762188315,0.0069620851427316666,0.0
66,,67276,1.0012699365615845,8.564764022827148,0.33288389444351196,0.012169899418950081,0.41164350509643555,0.001773096271790564,0.007002545055001974,0.0
67,,67276,1.0012630224227905,8.59531021118164,0.3360569179058075,0.012088293209671974,0.37628480792045593,0.0017040219390764832,0.007047945633530617,0.0
68,,67276,1.0012069940567017,8.62846851348877,0.33917292952537537,0.012000632472336292,0.37663665413856506,0.0016375196864828467,0.007090647704899311,0.0
69,,67276,1.0011507272720337,8.659917831420898,0.34223344922065735,0.011918369680643082,0.3681018650531769,0.0015744712436571717,0.007130293641239405,0.0
70,,67276,1.0010703802108765,8.69021987915039,0.3452380299568176,0.011839904822409153,0.4040643274784088,0.0015053902752697468,0.007176111452281475,0.0
71,,67276,1.00106942653656,8.722740173339844,0.3481817841529846,0.011756554245948792,0.3902745544910431,0.0014360074419528246,0.007223955355584621,0.0
72,,67276,1.0010534524917603,8.753981590270996,0.35106679797172546,0.011677308939397335,0.4215402901172638,0.0013702302239835262,0.007268375717103481,0.0
73,,67276,1.0010501146316528,8.788588523864746,0.3538985550403595,0.01159045659005642,0.4236953854560852,0.001306192367337644,0.007312564179301262,0.0
74,,67276,1.001094937324524,8.829673767089844,0.3566644489765167,0.011488599702715874,0.40544357895851135,0.0012348633026704192,0.00736137293279171,0.0
