reference,cycle,fem_cycle,pidl_saved_index,field,metric,FEM_projected_to_PIDL,PIDL_native,PIDL_over_FEM_projected,FEM_projected_over_PIDL,fem_E_d_abs,pidl_E_d_abs,abs_E_d_PIDL_over_FEM
"FEM n_step2 [1,0]",69,69,68,psi_raw,tip_2l0_mean,94.89481055708083,142.4402618408203,1.501033207238873,0.6662077795330619,,,
"FEM n_step2 [1,0]",69,69,68,g_alpha,domain_mean,0.9796414867973735,0.9842424988746643,1.0046966284495895,0.9953253267537712,,,
"FEM n_step2 [1,0]",69,69,68,g_alpha,max,1.0000820059315563,1.0034335851669312,1.003351304408535,0.9966598893191149,,,
"FEM n_step2 [1,0]",69,69,68,g_alpha,p99,1.000056432597559,1.0031877756118774,1.00313116631447,0.9968786072852527,,,
"FEM n_step2 [1,0]",69,69,68,g_alpha,p999,1.000057839294019,1.0033262968063354,1.003268268477975,0.996742378304326,,,
"FEM n_step2 [1,0]",69,69,68,g_alpha,tip_2l0_mean,0.40326932987915326,0.3903658390045166,0.9680027963482781,1.0330548669615718,,,
"FEM n_step2 [1,0]",69,69,68,psi_active,domain_mean,0.0009419260876235448,0.0017198233399540186,1.8258580610004003,0.5476876989288494,,,
"FEM n_step2 [1,0]",69,69,68,psi_active,max,0.3319188272720554,0.3768942058086395,1.135501137149175,0.8806684267271027,,,
"FEM n_step2 [1,0]",69,69,68,psi_active,p99,0.04365398870732746,0.033460069447755814,0.7664836693866519,1.3046592379459439,,,
"FEM n_step2 [1,0]",69,69,68,psi_active,p999,0.1465283987958004,0.10139157623052597,0.6919585354360122,1.445173299827694,,,
"FEM n_step2 [1,0]",69,69,68,psi_active,tip_2l0_mean,0.013055037254218381,0.0002630563103593886,0.02014979392528268,49.62829911353404,,,
"FEM n_step2 [1,0]",69,69,68,delta_alpha_bar,domain_mean,0.0011950436748756651,0.001719823107123375,1.4391299190820863,0.6948642973372589,,,
"FEM n_step2 [1,0]",69,69,68,delta_alpha_bar,max,0.5624628067016602,0.3769071102142334,0.6701013928804564,1.4923114779712094,,,
"FEM n_step2 [1,0]",69,69,68,delta_alpha_bar,p99,0.12568044662475586,0.03346017375588417,0.26623213598043793,3.7561205611687596,,,
"FEM n_step2 [1,0]",69,69,68,delta_alpha_bar,p999,0.2731819796562197,0.10137587785720825,0.37109284435519013,2.6947434185576853,,,
"FEM n_step2 [1,0]",69,69,68,delta_alpha_bar,tip_2l0_mean,0.029306486484750066,0.0002630504022818059,0.008975842341888607,111.41015649675391,,,
"FEM n_step2 [1,0]",1,1,0,Delta_E_d,from_c1,0.0,0.0,,,0.00569931,0.005432840436697,0.9532452940262944
"FEM n_step2 [1,0]",2,2,1,Delta_E_d,from_c1,5.35000000000032e-06,-1.0316725820300361e-05,-1.9283599664111672,-0.5185753787769616,0.00570466,0.0054225237108767,0.950542838815407
"FEM n_step2 [1,0]",3,3,2,Delta_E_d,from_c1,6.4799999999996805e-06,-2.514664083720034e-05,-3.880654450185429,-0.25768849374162056,0.00570579,0.0054076937958598,0.9477554897498506
"FEM n_step2 [1,0]",20,20,19,Delta_E_d,from_c1,0.0007494199999999998,8.409656584259986e-05,0.1122155344701234,8.911422154891067,0.00644873,0.0055169370025396,0.8555075189284712
"FEM n_step2 [1,0]",40,40,39,Delta_E_d,from_c1,0.0021532599999999997,0.0004428559914230997,0.20566768129399132,4.862212641812944,0.00785257,0.0058756964281201,0.748251391343229
"FEM n_step2 [1,0]",69,69,68,Delta_E_d,from_c1,0.005018590000000001,0.0013679703697562,0.2725806192090208,3.6686394025437954,0.0107179,0.0068008108064532,0.6345282943909908
