reference,cycle,fem_cycle,pidl_saved_index,field,metric,FEM_projected_to_PIDL,PIDL_native,PIDL_over_FEM_projected,FEM_projected_over_PIDL,fem_E_d_abs,pidl_E_d_abs,abs_E_d_PIDL_over_FEM
"FEM n_step2 [1,0]",2,2,1,psi_raw,domain_mean,0.8943307701759456,1.8586065769195557,2.078209359333464,0.4811834743736916,,,
"FEM n_step2 [1,0]",2,2,1,psi_raw,max,663.7318725585938,2803.99072265625,4.2245835081676235,0.23670972489161218,,,
"FEM n_step2 [1,0]",2,2,1,psi_raw,p99,157.86733627320416,0.05769103020429611,0.00036543994195516416,2736.427755132169,,,
"FEM n_step2 [1,0]",2,2,1,psi_raw,p999,638.1360473632812,2545.715087890625,3.9892983610772075,0.25067064668734773,,,
"FEM n_step2 [1,0]",2,2,1,psi_raw,right_band_mean,0.008559840081856932,0.008582346141338348,1.0026292616761754,0.9973776332123203,,,
"FEM n_step2 [1,0]",2,2,1,psi_raw,tip_2l0_integral,0.0018939961556331208,0.008447729051113129,4.46026726400046,0.22420181141860313,,,
"FEM n_step2 [1,0]",2,2,1,psi_raw,tip_2l0_mean,3.0352500712694854,6.6833295822143555,2.20190410189796,0.454152385264207,,,
"FEM n_step2 [1,0]",2,2,1,psi_raw,tip_4l0_integral,0.006130124234619717,0.02482866682112217,4.05027139269102,0.24689703554299242,,,
"FEM n_step2 [1,0]",2,2,1,psi_raw,tip_4l0_mean,2.448132706411594,4.934154510498047,2.0154767335837755,0.4961605278478567,,,
"FEM n_step2 [1,0]",2,2,1,psi_raw,tip_l0_integral,0.0006747265121032098,0.0026258435100317,3.8917153289954567,0.25695610173473904,,,
"FEM n_step2 [1,0]",2,2,1,psi_raw,tip_l0_mean,4.016228922712181,8.10445499420166,2.017926555025324,0.4955581745577705,,,
"FEM n_step2 [1,0]",2,2,1,psi_raw,top1_mean,484.1831658935547,1029.931640625,2.1271529313173714,0.47011194412838386,,,
"FEM n_step2 [1,0]",2,2,1,g_alpha,crack_strip_mean,0.7139716339497958,0.733302116394043,1.027074580452599,0.9736391290682436,,,
"FEM n_step2 [1,0]",2,2,1,g_alpha,domain_mean,0.9885480779014829,0.9894086122512817,1.0008705032856122,0.9991302538312854,,,
"FEM n_step2 [1,0]",2,2,1,g_alpha,max,1.0000093391442924,1.000298023223877,1.0002886813835474,0.9997114019293428,,,
"FEM n_step2 [1,0]",2,2,1,g_alpha,p99,1.0000076790427737,1.0002074241638184,1.0001997435872052,0.9998002963023278,,,
"FEM n_step2 [1,0]",2,2,1,g_alpha,p999,1.0000088883750615,1.000267744064331,1.0002588533884835,0.9997412135992532,,,
"FEM n_step2 [1,0]",2,2,1,g_alpha,right_band_mean,1.000007342756722,1.000085473060608,1.0000781297301984,0.9999218763735795,,,
"FEM n_step2 [1,0]",2,2,1,g_alpha,tip_2l0_integral,0.00034502671140337015,0.0006904459442012012,2.001137655090136,0.4997157479178801,,,
"FEM n_step2 [1,0]",2,2,1,g_alpha,tip_2l0_mean,0.5529273896687955,0.5462388396263123,0.9879033844814783,1.0122447353744728,,,
"FEM n_step2 [1,0]",2,2,1,g_alpha,tip_4l0_integral,0.0019973397952978535,0.004016833379864693,2.0110916476611242,0.497242381351933,,,
"FEM n_step2 [1,0]",2,2,1,g_alpha,tip_4l0_mean,0.7976596707569744,0.7982578277587891,1.0007498899891065,0.9992506719245159,,,
"FEM n_step2 [1,0]",2,2,1,g_alpha,tip_l0_integral,4.0323568645054506e-05,7.164672570070252e-05,1.776795261633909,0.5628110461530711,,,
