method,cycle,selector,elem_idx,x,y,alpha_bar,delta_alpha_bar,psi_raw,g_alpha,psi_active
FEM_nstep2_projected,40,max_psi_active,76275,0.19466666877269745,0.0013333334354683757,0.9436295032501221,0.2705642580986023,6.119220733642578,0.04868829813792072,0.2979344434513358
FEM_nstep2_projected,40,max_delta_alpha_bar,67725,0.004666666965931654,0.0013333334354683757,6.920406818389893,0.32408857345581055,1150.40234375,0.00011502590553188929,0.13232607131585153
PIDL,40,max_psi_raw,45044,-0.49933335185050964,-0.0006666667177341878,0.14954563975334167,0.0013125985860824585,2786.897705078125,1.4723829053764348e-06,0.0013164827832952142
PIDL,40,max_psi_active,74385,0.15266667306423187,0.0013333334354683757,1.3085434436798096,0.37239986658096313,6.063084602355957,0.06142335385084152,0.372408926486969
PIDL,40,max_delta_alpha_bar,74385,0.15266667306423187,0.0013333334354683757,1.3085434436798096,0.37239986658096313,6.063084602355957,0.06142335385084152,0.372408926486969
FEM_nstep2_projected,69,max_psi_raw,22995,0.011333334259688854,0.0006666667177341878,1.7260433435440063,0.014338970184326172,2216.02978515625,1.3975276428036522e-06,0.003096962882032098
FEM_nstep2_projected,69,max_psi_active,88065,0.4566666781902313,0.0013333334354683757,0.8178967237472534,0.2971862554550171,16.981019973754883,0.019546459976200165,0.3319188272720554
FEM_nstep2_projected,69,max_delta_alpha_bar,67724,0.004666666965931654,-0.0006666667177341878,11.291247367858887,0.5624628067016602,481.3478088378906,0.00042300909825851343,0.20361450256522742
PIDL,69,max_psi_raw,45044,-0.49933335185050964,-0.0006666667177341878,0.2932606041431427,0.0008884966373443604,2681.710693359375,1.3309747828316176e-06,0.0008875784697011113
PIDL,69,max_psi_active,83475,0.35466668009757996,0.0013333334354683757,1.2762815952301025,0.3769071102142334,11.18742561340332,0.03369009122252464,0.3768942058086395
PIDL,69,max_delta_alpha_bar,83475,0.35466668009757996,0.0013333334354683757,1.2762815952301025,0.3769071102142334,11.18742561340332,0.03369009122252464,0.3768942058086395
