cycle,path,n_elem,alpha_max,hist_max,hist_mean,f_min,psi_max,E_el,E_d,E_hist,precrack_half_width,precrack_x_max,n_elem_precrack_mask,n_elem_outside_precrack,hist_max_outside_precrack,hist_mean_outside_precrack,f_min_outside_precrack,f_mean_outside_precrack,psi_max_outside_precrack,psi_mean_outside_precrack,E_el_outside_precrack,E_d_outside_precrack,E_hist_outside_precrack
11,,90000,1.0000404119491577,2.7626819610595703,0.06528165936470032,0.09393999725580215,0.5343214869499207,0.004603380337357521,0.0054267458617687225,7.466209595019535e-11,0.02,0.0,10000,80000,2.7626819610595703,0.07221875339746475,0.09393999725580215,0.9975001215934753,0.5343214869499207,0.005901843775063753,0.00459117628633976,6.149384716991335e-05,5.972423944289318e-12
12,,90000,1.0000370740890503,2.787339448928833,0.07056338340044022,0.09253603965044022,0.4874710440635681,0.004577006213366985,0.005431211553514004,6.287979859020965e-11,0.02,0.0,10000,80000,2.787339448928833,0.07809123396873474,0.09253603965044022,0.9970552921295166,0.4874710440635681,0.005872479174286127,0.004564820788800716,6.628893606830388e-05,5.5320322975283e-12
13,,90000,1.0000405311584473,2.808838367462158,0.0758136510848999,0.09133745729923248,0.5204111933708191,0.0045433659106493,0.0054406714625656605,7.550386704746614e-11,0.02,0.0,10000,80000,2.808838367462158,0.08392751216888428,0.09133745729923248,0.9965662360191345,0.5204111933708191,0.005836276803165674,0.004531072452664375,7.648635073564947e-05,4.340805059149799e-12
14,,90000,1.000056266784668,2.8274147510528564,0.08103134483098984,0.09032046049833298,0.5046072602272034,0.004511903505772352,0.00544887688010931,6.310407058007783e-11,0.02,0.0,10000,80000,2.8274147510528564,0.08972848206758499,0.09032046049833298,0.9960466027259827,0.5046072602272034,0.005800967570394278,0.004499826580286026,8.474405331071466e-05,3.7220053428210775e-12
15,,90000,1.0000557899475098,2.844181776046753,0.08621727675199509,0.08941704034805298,0.4986138343811035,0.004478751681745052,0.0054582590237259865,6.637058957981168e-11,0.02,0.0,10000,80000,2.844181776046753,0.09549326449632645,0.08941704034805298,0.9954894781112671,0.4986138343811035,0.005764787085354328,0.004466601647436619,9.457152191316709e-05,6.234334663096641e-12
16,,90000,0.9999796748161316,2.86053466796875,0.09136829525232315,0.08854891359806061,0.4894479513168335,0.004443461541086435,0.0054692854173481464,6.514356415410205e-11,0.02,0.0,10000,80000,2.86053466796875,0.10121899098157883,0.08854891359806061,0.9948856234550476,0.4894479513168335,0.005725719500333071,0.004431326873600483,0.00010591126920189708,6.271718821365679e-12
17,,90000,0.9998756051063538,2.8767974376678467,0.09648538380861282,0.0876980647444725,0.48684069514274597,0.004407794214785099,0.005480756051838398,7.622473485735526e-11,0.02,0.0,10000,80000,2.8767974376678467,0.10690587013959885,0.0876980647444725,0.9942351579666138,0.48684069514274597,0.005686887539923191,0.004395565018057823,0.00011780242493841797,9.788952634592896e-12
18,,90000,0.9997782707214355,2.8928563594818115,0.10156825184822083,0.08686985075473785,0.4824087917804718,0.004372541792690754,0.0054920692928135395,6.87304518853793e-11,0.02,0.0,10000,80000,2.8928563594818115,0.11255406588315964,0.08686985075473785,0.9935391545295715,0.4824087917804718,0.005648189689964056,0.004360276274383068,0.00012932861864101142,8.047418634249404e-12
19,,90000,1.0000137090682983,3.013373851776123,0.10661541670560837,0.08101235330104828,0.4858240783214569,0.004336339887231588,0.005504158791154623,7.713360505867684e-11,0.02,0.0,10000,80000,2.909653425216675,0.11816272139549255,0.08601606637239456,0.9927968978881836,0.4858240783214569,0.005608652718365192,0.004324177745729685,0.00014144042506814003,7.472003918373993e-12
20,,90000,0.9999511241912842,3.181525945663452,0.11162630468606949,0.07378095388412476,0.48906657099723816,0.004299245774745941,0.005516937002539635,6.631729887462967e-11,0.02,0.0,10000,80000,2.924872875213623,0.12373010069131851,0.0852532759308815,0.9920236468315125,0.48906657099723816,0.005567394196987152,0.004286990035325289,0.0001542812678962946,9.32732450303897e-12
21,,90000,1.0000286102294922,3.347074031829834,0.11659891158342361,0.06756766885519028,0.4907756447792053,0.004259706474840641,0.005531500559300184,8.316124178175954e-11,0.02,0.0,10000,80000,2.9383533000946045,0.1292547732591629,0.08458610624074936,0.9912063479423523,0.4907756447792053,0.005524660460650921,0.004247517324984074,0.00016888802929315716,8.549738174379318e-12
22,,90000,1.000034213066101,3.51430082321167,0.12153331190347672,0.06205548718571663,0.4823736548423767,0.004221681505441666,0.005544842686504126,7.300815507704783e-11,0.02,0.0,10000,80000,2.9495139122009277,0.1347368210554123,0.08403964340686798,0.9903279542922974,0.4823736548423767,0.0054820324294269085,0.004209543578326702,0.00018228362023364753,1.2493613782416091e-11
23,,90000,1.000126600265503,3.6753623485565186,0.12643007934093475,0.05736032873392105,0.46618402004241943,0.004183324985206127,0.005558585748076439,7.027191328834448e-11,0.02,0.0,10000,80000,2.959050178527832,0.1401773989200592,0.08357691019773483,0.9893988966941833,0.46618402004241943,0.005440599285066128,0.004171338398009539,0.00019589542353060097,1.0487391337299368e-11
24,,90000,1.0001353025436401,3.8351328372955322,0.13128741085529327,0.053210239857435226,0.4103146195411682,0.004143652971833944,0.005573147442191839,8.54709150677202e-11,0.02,0.0,10000,80000,2.9663710594177246,0.14557498693466187,0.08322425931692123,0.988433301448822,0.4103146195411682,0.00539758475497365,0.004131876397877932,0.00021033253869973123,1.1146424928887289e-11
25,,90000,1.000131607055664,3.9959909915924072,0.13610605895519257,0.04947082698345184,0.4068947434425354,0.00410525081679225,0.005586665123701096,6.39701278060123e-11,0.02,0.0,10000,80000,2.9739458560943604,0.15092991292476654,0.08286172151565552,0.9874172806739807,0.4068947434425354,0.00535490782931447,0.004093633498996496,0.00022373945103026927,8.633398683455251e-12
26,,90000,1.0001362562179565,4.156615734100342,0.14088168740272522,0.04611680284142494,0.46159428358078003,0.0040609752759337425,0.005604496691375971,8.88490669925801e-11,0.02,0.0,10000,80000,2.997962474822998,0.15623734891414642,0.0817277804017067,0.9863709807395935,0.46159428358078003,0.005307446699589491,0.004049534443765879,0.00024154572747647762,1.2664920327754015e-11
27,,90000,1.0001384019851685,4.321356296539307,0.14561764895915985,0.043019119650125504,0.44435280561447144,0.004021506756544113,0.005618991795927286,6.849062983427245e-11,0.02,0.0,10000,80000,3.023122787475586,0.1615007072687149,0.08056464046239853,0.9852741360664368,0.44435280561447144,0.005263353697955608,0.004010147415101528,0.0002559010172262788,1.314544306740828e-11
28,,90000,1.0001424551010132,4.4836883544921875,0.1503099948167801,0.040262266993522644,0.46956169605255127,0.003978036344051361,0.005636353045701981,7.445651040161039e-11,0.02,0.0,10000,80000,3.0449349880218506,0.16671575605869293,0.07957625389099121,0.9841415882110596,0.46956169605255127,0.005215054843574762,0.003966809716075659,0.00027328747091814876,1.4101794384990818e-11
29,,90000,1.0001426935195923,4.645987510681152,0.15495963394641876,0.037762656807899475,0.4660866856575012,0.003934759646654129,0.005653738509863615,8.31609781037912e-11,0.02,0.0,10000,80000,3.0640923976898193,0.17188338935375214,0.07872308790683746,0.9829807877540588,0.4660866856575012,0.005167625844478607,0.003923623822629452,0.00029052860918454826,1.5253739243936693e-11
30,,90000,1.0001500844955444,4.8023200035095215,0.15956780314445496,0.0355687141418457,0.41642314195632935,0.003893641522154212,0.005669292528182268,6.245245987024362e-11,0.02,0.0,10000,80000,3.0816311836242676,0.1770070195198059,0.07795397937297821,0.9817954897880554,0.41642314195632935,0.005123640410602093,0.0038829550612717867,0.00030560072627849877,1.079013527832684e-11
31,,90000,1.0001530647277832,4.958850860595703,0.16412842273712158,0.033558111637830734,0.4574904143810272,0.003845063503831625,0.005690280813723803,6.693320203643438e-11,0.02,0.0,10000,80000,3.0954229831695557,0.18207794427871704,0.07735707610845566,0.9805731177330017,0.4574904143810272,0.00507093220949173,0.0038345512002706528,0.0003266097919549793,1.4567375083984757e-11
32,,90000,1.0001527070999146,5.111929893493652,0.16864705085754395,0.0317523255944252,0.42900457978248596,0.0038029036950320005,0.0057064201682806015,6.893598192281303e-11,0.02,0.0,10000,80000,3.1095025539398193,0.18710240721702576,0.07675474882125854,0.9793147444725037,0.42900457978248596,0.005024446174502373,0.003792517352849245,0.0003426787443459034,1.0920668015723667e-11
