cycle,field,metric,FEM_nstep2_projected,PIDL_fbpinn,PIDL_over_FEM
40,alpha_bar,p99,2.1244487714767444,1.000490427017212,0.47094118740352214
40,alpha_bar,domain_mean,0.1685644438132181,0.17718476057052612,1.051139591258403
40,alpha_bar,tip_2l0_mean,0.5867260319383277,0.5768386721611023,0.9831482510762967
40,alpha_bar,tip_5l0_mean,0.3743878176884603,0.415670245885849,1.1102664837020446
40,alpha_bar,right_band_mean,0.3398811550284007,0.350547730922699,1.0313832518705162
40,psi_raw,max,1640.9962158203125,2780.34228515625,1.6943014605103117
40,psi_raw,p999,1249.4049399414068,2626.82666015625,2.1024622011494847
40,psi_raw,p99,490.35635375976057,0.258248895406723,0.0005266555504514712
40,psi_raw,domain_mean,1.4467157402873174,2.451371908187866,1.6944392322026056
40,psi_raw,tip_2l0_mean,93.79736843100262,85.18599700927734,0.9081917588331936
40,psi_raw,tip_5l0_mean,33.482146726609244,34.33163833618164,1.025371479807096
40,psi_raw,right_band_mean,0.008370327883069819,0.008473511785268784,1.0123273429237662
40,g_alpha,max,1.0000779981830776,1.0024536848068237,1.0023755013389577
40,g_alpha,p999,1.000054475528796,1.0021600723266602,1.0021054821006135
40,g_alpha,p99,1.0000519595853203,1.0019800662994385,1.0019280065356981
40,g_alpha,domain_mean,0.9848756124301707,0.987380862236023,1.0025437220439142
40,g_alpha,tip_2l0_mean,0.41489257236715404,0.37550589442253113,0.9050677679768917
40,g_alpha,tip_5l0_mean,0.7479227763773005,0.7296602725982666,0.9755823671161725
40,g_alpha,right_band_mean,1.000048970867499,1.0017317533493042,1.0016827000785224
40,psi_active,max,0.2979344434513358,0.35373544692993164,1.1872928917925205
40,psi_active,p999,0.10317979629706082,0.10664595663547516,1.0335934016426536
40,psi_active,p99,0.034360761370532344,0.03336205706000328,0.9709347444383014
40,psi_active,domain_mean,0.0031361779713216897,0.0036269384436309338,1.15648361693658
40,psi_active,tip_2l0_mean,0.0025970015877111218,0.0010349724907428026,0.39852593684972676
40,psi_active,tip_5l0_mean,0.0013384093943816732,0.0006917858845554292,0.5168716593438324
40,psi_active,right_band_mean,0.008370723935258402,0.008487958461046219,1.014005303089021
40,E_el,integral_from_pidl_diag,,0.0036328164860606194,
40,E_d,integral_from_pidl_diag,,0.005719327833503485,
40,E_hist,integral_from_pidl_diag,,0.0,
69,damage_alpha,max,1.0280596017837524,1.0007362365722656,0.9734223918884869
69,damage_alpha,p999,1.0125950078964236,1.0004041194915771,0.987960746093177
69,damage_alpha,p99,1.0070653057098389,0.9968525171279907,0.9898588616607643
69,damage_alpha,domain_mean,0.015318731175064125,0.012615213170647621,0.8235155396670647
69,damage_alpha,tip_2l0_mean,0.45675991323327503,0.47541195154190063,1.0408355413166472
69,damage_alpha,tip_5l0_mean,0.19335495506516442,0.2031623274087906,1.0507221153981852
69,damage_alpha,right_band_mean,0.0039035226111965907,-0.0014263337943702936,-0.3653965754621474
69,alpha_bar,max,18.459121704101562,10.834035873413086,0.5869204422118196
69,alpha_bar,p999,8.433470001220847,2.098031759262085,0.24877443791919215
69,alpha_bar,p99,5.670693426132202,1.2920969724655151,0.22785519783368238
69,alpha_bar,domain_mean,0.23574995771802848,0.26672253012657166,1.1313789097073277
69,alpha_bar,tip_2l0_mean,1.0786265809304356,0.5959950089454651,0.5525498995503643
69,alpha_bar,tip_5l0_mean,0.5791502742760523,0.43308690190315247,0.7477971109389847
69,alpha_bar,right_band_mean,0.584365829154561,0.5944913029670715,1.0173272859351814
69,psi_raw,max,2216.02978515625,2712.62451171875,1.2240920812025482
69,psi_raw,p999,2171.030036865241,2616.434814453125,1.205158275115809
69,psi_raw,p99,500.73057983398337,38.99294662475586,0.07787210966361177
69,psi_raw,domain_mean,2.5315790875767505,2.937260389328003,1.1602483223779407
69,psi_raw,tip_2l0_mean,93.69374156176028,128.32595825195312,1.3696321239062084
69,psi_raw,tip_5l0_mean,38.468349504191586,51.234046936035156,1.3318493669829166
69,psi_raw,right_band_mean,0.043624748649762644,0.008284141309559345,0.18989545076964973
69,g_alpha,max,1.0000820059315563,1.0039031505584717,1.0038208312960857
69,g_alpha,p999,1.000057839294019,1.0035152435302734,1.003457204274
69,g_alpha,p99,1.000056432597559,1.0032848119735718,1.0032281972004593
69,g_alpha,domain_mean,0.9796414867973734,0.9841424822807312,1.0045945333512492
69,g_alpha,tip_2l0_mean,0.40576307249798227,0.3719659149646759,0.9167071628148852
69,g_alpha,tip_5l0_mean,0.7440372487653275,0.7272492051124573,0.977436554848929
69,g_alpha,right_band_mean,0.9941050613275884,1.0028547048568726,1.0088015279970504
69,psi_active,max,0.3319188272720554,0.35912036895751953,1.0819523915200162
69,psi_active,p999,0.1465283987958004,0.09980149567127228,0.6811068468055399
69,psi_active,p99,0.04365398870732709,0.031793683767318726,0.7283110824185082
69,psi_active,domain_mean,0.0009419260876235448,0.002460143528878689,2.611822266315574
69,psi_active,tip_2l0_mean,0.012902411666071674,0.0004829024837817997,0.03742730400175073
69,psi_active,tip_5l0_mean,0.004173233098231566,0.00048646971117705107,0.11656902447725617
69,psi_active,right_band_mean,0.01009850968688296,0.00830732099711895,0.8226284129735895
69,E_el,integral_from_pidl_diag,,0.002469793427735567,
69,E_d,integral_from_pidl_diag,,0.006182115059345961,
69,E_hist,integral_from_pidl_diag,,0.0,
