cycle,fem_E_el,fem_E_d,fem_total_energy,fem_d_max,fem_d_mean,fem_alpha_bar_monitor_max,fem_alpha_bar_elem_max,fem_alpha_bar_elem_mean,fem_f_min,fem_psi_max,fem_Kt_proxy,fem_x_tip_d095,alpha_bar_elem_p999,alpha_bar_elem_p99,f_fatigue_p001,f_fatigue_mean,psi_plus_elem_p999,psi_plus_elem_p99,psi_plus_elem_mean,x_max_d,y_max_d,x_max_alpha_bar_elem,y_max_alpha_bar_elem,x_min_f_fatigue_elem,y_min_f_fatigue_elem,x_max_psi_plus_elem,y_max_psi_plus_elem,y_tip_d095,x_tip_d090,y_tip_d090,x_tip_d050,y_tip_d050,width_y_d050_near_tip,width_y_d090_near_tip,n_elem_d050_near_tip,n_elem_d090_near_tip,right_boundary_d095_count,right_boundary_d095_yspan,pidl_E_el,pidl_E_d,pidl_E_hist,pidl_alpha_max,pidl_hist_max,pidl_hist_mean,pidl_f_min,pidl_psi_max,pidl_Kt,pidl_x_tip,pidl_alpha_bar_saved_max,pidl_alpha_bar_saved_mean,pidl_saved_f_min,pidl_E_d_increment_from_first,fem_E_d_increment_from_first,ratio_E_el_pidl_over_fem,ratio_E_d_pidl_over_fem,ratio_E_d_increment_pidl_over_fem,ratio_hist_max_pidl_over_fem_elem,ratio_hist_mean_pidl_over_fem_elem,ratio_f_min_pidl_over_fem,ratio_Kt_pidl_over_fem_proxy,delta_x_tip_pidl_minus_fem_d095
22,0.00418404,0.00659094,0.010775,1.00766470413806,0.0540585270594463,3.32249,2.81361616014356,0.123808388618381,0.0930170260762318,947.779722631178,11.2310904635175,0.07499999999999996,1.30894425692469,0.804778849352971,0.343364968863358,0.989754156614507,685.006589814569,420.437533623488,6.33566346307231,0.0050000000000000044,-0.0010000000000000009,0.0030000000000000027,-0.0010000000000000009,0.0030000000000000027,-0.0010000000000000009,-0.0050000000000000044,-0.0010000000000000009,-0.0010000000000000009,0.07699999999999996,-0.0010000000000000009,0.08299999999999996,-0.0010000000000000009,0.008,0.0,39,6,0,0,0.0042180828750133,0.0056130639277398,0.0,1.0010747909545898,5.331973552703857,0.1367630809545517,0.0294014606624841,0.3972235321998596,8.49490903960078,0.0658061578869819,5.331973552703857,0.1367630809545517,0.0294014607741959,0.0001421407796441997,0.0008915800000000003,1.0081363646172838,0.851633291721636,0.15942571574530567,1.8950607507286292,1.1046350128673543,0.3160868703584248,0.7563743758627185,-0.009193842113018061
23,0.00414259,0.00665167,0.0107943,1.00809326841948,0.0544885821789547,3.6565,2.97109084361704,0.12911422966942,0.0850076598457217,992.848747926054,11.3897442785744,0.08099999999999996,1.33802544409193,0.851851972720861,0.339003836079779,0.988827647929388,713.916535708035,428.517612164754,6.4112909452447,0.0050000000000000044,-0.0010000000000000009,0.0030000000000000027,-0.0010000000000000009,0.0030000000000000027,-0.0010000000000000009,-0.0050000000000000044,-0.0010000000000000009,-0.0010000000000000009,0.08299999999999996,-0.0010000000000000009,0.08699999999999997,-0.0030000000000000027,0.008,0.0,38,6,0,0,0.0041775475256145,0.0056296745315194,0.0,1.0011595487594604,5.459198951721191,0.1422810405492782,0.0281594544649124,0.4091604053974151,8.528867229886119,0.0716761648654937,5.459198951721191,0.1422810405492782,0.0281594540322037,0.00015875138342380003,0.0009523100000000005,1.0084385675663052,0.8463550554250887,0.16670137184719255,1.8374392568471922,1.1019779997415475,0.3312578480106181,0.7488199051079694,-0.009323835134506256
24,0.00409634,0.00671919,0.0108155,1.0085120887927,0.0549510246774738,4.02016,3.15016804990978,0.134415791308634,0.0780672635635352,1041.54920736908,11.5568427274717,0.08699999999999997,1.37274704337817,0.895942030464565,0.326672109243566,0.987876237220056,743.549746013862,436.785269805842,6.49875513889593,0.0050000000000000044,-0.0010000000000000009,0.0050000000000000044,-0.0010000000000000009,0.0030000000000000027,-0.0010000000000000009,-0.0030000000000000027,-0.0010000000000000009,-0.0010000000000000009,0.08899999999999997,-0.0010000000000000009,0.09299999999999997,-0.0030000000000000027,0.008,0.0,38,6,0,0,0.0041392529383301,0.0056461971253156,0.0,1.0011577606201172,5.574202060699463,0.1477606147527694,0.0271032620221376,0.3980008959770202,8.43705746547901,0.0756434872746467,5.574202060699463,0.1477606296539306,0.0271032599456587,0.00017527397722000033,0.0010198300000000002,1.0104759220011277,0.8403091928216944,0.1718658768814413,1.7694935547515016,1.0992801761922018,0.3471783278285341,0.7300486529442277,-0.011356512725353263
25,0.00405295,0.00678334,0.0108363,1.00888590664081,0.0554169390102116,4.41223,3.34449242861503,0.139702288431812,0.0721036474286715,1086.98526939385,11.7088012852829,0.09299999999999997,1.40287535247712,0.936706020852815,0.306976293999321,0.986894452024774,770.793700784892,443.828411447077,6.57930910325886,0.0050000000000000044,-0.0010000000000000009,0.0050000000000000044,-0.0010000000000000009,0.0030000000000000027,-0.0010000000000000009,-0.0030000000000000027,-0.0010000000000000009,-0.0010000000000000009,0.09499999999999997,-0.0010000000000000009,0.09899999999999998,-0.0030000000000000027,0.008,0.0,38,6,0,0,0.0040990216657519,0.0056628938764333,0.0,1.0011258125305176,5.695723533630371,0.1531974375247955,0.026050491258502,0.3780237436294555,8.51871297623124,0.0796108022332191,5.695723533630371,0.1531974375247955,0.0260504925564619,0.0001919707283376997,0.00108398,1.0113674399516157,0.8348238296227669,0.17709803533063312,1.7030158253307803,1.0965993416748532,0.3612922811466984,0.7275478307876515,-0.013389197766780866
26,0.00400747,0.00685163,0.0108591,1.00924139439968,0.0559021370798173,4.83262,3.55184836558612,0.144986423918079,0.0670002434692466,1133.41353924925,11.8606562245281,0.09899999999999998,1.42845202513346,0.992520357267137,0.288011779927927,0.985886280455102,794.793541685437,449.947223286815,6.66423548649033,0.0050000000000000044,-0.0010000000000000009,0.0050000000000000044,-0.0010000000000000009,0.0030000000000000027,-0.0010000000000000009,-0.0030000000000000027,-0.0010000000000000009,-0.0010000000000000009,0.10099999999999998,-0.0010000000000000009,0.10499999999999998,-0.0030000000000000027,0.008,0.0,38,6,0,0,0.0040539507754147,0.0056838868185877,0.0,1.0011159181594849,5.820263385772705,0.1585873961448669,0.0250339675694704,0.399776428937912,8.577914135649603,0.0847909078001976,5.820263385772705,0.1585873961448669,0.0250339652920717,0.00021296367049210025,0.0011522700000000004,1.0115985335921915,0.8295670984258783,0.18482097988500976,1.6386576189922046,1.093808591585601,0.37363994924826055,0.7232242443643453,-0.014209092199802376
27,0.00396229,0.00692012,0.0108824,1.00956494359309,0.0563835701434125,5.28053,3.77196246925649,0.150264784715382,0.0626454575788417,1177.80466070992,12.0070448710278,0.10499999999999998,1.47154403098627,1.0364304528568,0.272289395208714,0.984875338729346,817.823521428029,457.082763711985,6.74855315298342,0.0050000000000000044,-0.0010000000000000009,0.0050000000000000044,-0.0010000000000000009,0.0030000000000000027,-0.0010000000000000009,-0.0030000000000000027,-0.0010000000000000009,-0.0010000000000000009,0.10699999999999998,-0.0010000000000000009,0.11099999999999999,-0.0030000000000000027,0.008,0.0,38,6,0,0,0.0040116580203175,0.0057046678848564,0.0,1.001111388206482,5.935565948486328,0.1639371812343597,0.0241449624300003,0.3946956396102905,8.682198587825022,0.0887582302093505,5.935565948486328,0.1639371812343597,0.0241449610862468,0.00023374473676080008,0.0012207600000000004,1.0124594667017053,0.8243596765455512,0.19147476716209574,1.5736015394809368,1.0909886940235183,0.3854223971404941,0.7230920414709692,-0.01624176979064948
28,0.00391499,0.00699134,0.0109063,1.00986889029011,0.0568914708993424,5.75526,4.00458949177295,0.155539494861778,0.0589331902173252,1222.2424259837,12.1445493994783,0.11099999999999999,1.51549941023989,1.08340932879036,0.260478046096483,0.983856577871912,842.366873440009,461.794142254988,6.83913146139357,0.0050000000000000044,-0.0010000000000000009,0.0050000000000000044,-0.0010000000000000009,0.0030000000000000027,-0.0010000000000000009,-0.0030000000000000027,-0.0010000000000000009,-0.0010000000000000009,0.11299999999999999,-0.0010000000000000009,0.11699999999999999,-0.0030000000000000027,0.008,0.0,38,6,0,0,0.0039675389416515,0.0057240473106503,0.0,1.0011261701583862,6.0564656257629395,0.169238805770874,0.0232627149671316,0.4145223796367645,8.784321748882007,0.093938335776329,6.0564656257629395,0.1692387908697128,0.0232627162168075,0.00025312416255470014,0.0012919800000000007,1.013422497031027,0.8187339352184703,0.19591956729570117,1.5123811412394141,1.0880760923215678,0.3947302849437942,0.7233139295608085,-0.01706166422367099
29,0.00386976,0.00706041,0.0109302,1.01015572313031,0.0573901882527212,6.25504,4.24896529019953,0.160806329829723,0.0557707288913145,1264.82390917992,12.2711995315659,0.11699999999999999,1.53210281336943,1.13967971366578,0.252595532961258,0.982829347605475,867.397467171572,465.517400894417,6.92470298750556,0.0050000000000000044,-0.0010000000000000009,0.0050000000000000044,-0.0010000000000000009,0.0030000000000000027,-0.0010000000000000009,-0.0010000000000000009,-0.0010000000000000009,-0.0010000000000000009,0.119,-0.0010000000000000009,0.125,-0.0010000000000000009,0.008,0.0,39,6,0,0,0.0039237989112734,0.0057438369840383,0.0,1.001172661781311,6.15127420425415,0.1744954735040664,0.0226042587310075,0.3937525451183319,8.845824902174686,0.0998893082141876,6.15127420425415,0.1744954735040664,0.0226042600664842,0.0002729138359427001,0.00136105,1.0139644089745616,0.8135273991224731,0.20051712717585696,1.4477110976741558,1.085128139475845,0.40530685505399217,0.7208606525727228,-0.0171106917858124
30,0.00382178,0.00713336,0.0109551,1.01042984874062,0.0579064255586892,6.78002,4.5052566349817,0.166072085773069,0.0530691128806357,1307.37998105527,12.3896127416224,0.125,1.53908930999598,1.20589732972948,0.248505682327446,0.98179082859221,895.99582735999,470.529062430284,7.01790544225909,0.0050000000000000044,-0.0010000000000000009,0.0050000000000000044,-0.0010000000000000009,0.0030000000000000027,-0.0010000000000000009,-0.0010000000000000009,-0.0010000000000000009,-0.0010000000000000009,0.125,-0.0010000000000000009,0.131,-0.0030000000000000027,0.008,0.0,38,5,0,0,0.0038766865618526,0.005767960101366,0.0,1.0012478828430176,6.23417854309082,0.1797051727771759,0.0220511239022016,0.4232363700866699,8.906079679931844,0.1050694212317466,6.23417854309082,0.1797051727771759,0.0220511247763312,0.00029703695327039977,0.0014340000000000004,1.0143667510564711,0.8085895148101315,0.20713874007698724,1.3837565866247579,1.0820913818276239,0.4155171003479841,0.7188343869709689,-0.019930578768253396
31,0.00377496,0.00720435,0.0109793,1.01068636942192,0.0584155079235922,7.32815,4.77259273555612,0.171327073305641,0.050757426131851,1347.69326159817,12.4953354527081,0.131,1.54720078113184,1.27441601242267,0.246989241340097,0.9807418832005,925.713981288727,473.274764126463,7.10979403818895,0.0050000000000000044,-0.0010000000000000009,0.0050000000000000044,-0.0010000000000000009,0.0030000000000000027,-0.0010000000000000009,-0.0010000000000000009,-0.0010000000000000009,-0.0010000000000000009,0.131,-0.0010000000000000009,0.137,-0.0030000000000000027,0.008,0.0,38,5,0,0,0.003830918110907,0.0057907365262508,0.0,1.001270413398743,6.3380584716796875,0.1848675161600113,0.0213862359523773,0.4540714621543884,8.899269841491819,0.109036736190319,6.3380584716796875,0.1848675161600113,0.021386237221321,0.00031981337815520025,0.0015049900000000003,1.0148234977077903,0.80378334287629,0.21250199546521917,1.3280115909452628,1.0790327097353414,0.421342010070072,0.712207357311331,-0.021963263809681
32,0.00372869,0.00727474,0.0110034,1.01093131180515,0.0589170851393519,7.89823,5.05039976607166,0.176574040191201,0.0487736730585186,1385.36186155016,12.5912857852109,0.137,1.63411523884011,1.35390232820954,0.244019174562354,0.979676588570455,953.282275007533,476.917677846586,7.20118686411811,0.0050000000000000044,-0.0010000000000000009,0.0050000000000000044,-0.0010000000000000009,0.0030000000000000027,-0.0010000000000000009,-0.0010000000000000009,-0.0010000000000000009,-0.0010000000000000009,0.139,-0.0010000000000000009,0.14300000000000002,-0.0030000000000000027,0.008,0.0,38,6,0,0,0.0037856409326195,0.0058127562515437,0.0,1.0012680292129517,6.43964147567749,0.1899847239255905,0.0207647141069173,0.3894725441932678,8.91747226860675,0.1149877086281776,6.43964147567749,0.1899847239255905,0.0207647129603559,0.00034183310344809963,0.0015753800000000004,1.015273710772282,0.7990328522453998,0.2169845392528149,1.2750755928151845,1.0759493508777842,0.42573611550649093,0.7082257063119615,-0.02201229137182241
33,0.00367663,0.00735196,0.0110286,1.01117615949716,0.0594590868252947,8.49057,5.33892464753268,0.181817886526972,0.0470630455656654,1425.74012145172,12.682694542861,0.14300000000000002,1.72341869704861,1.43642047413123,0.233935083765884,0.978599180515238,995.416312666277,479.363334565536,7.30984542313236,0.0050000000000000044,-0.0010000000000000009,0.0050000000000000044,-0.0010000000000000009,0.0030000000000000027,-0.0010000000000000009,-0.0010000000000000009,-0.0010000000000000009,-0.0010000000000000009,0.14500000000000002,-0.0010000000000000009,0.15100000000000002,-0.0010000000000000009,0.008,0.0,40,6,0,0,0.0037397926207631,0.005835204385221,0.0,1.001318097114563,6.549653053283691,0.1950585544109344,0.0201216917484998,0.3980754315853119,9.00257235496749,0.1201678216457367,6.549653053283691,0.1950585395097732,0.0201216927089462,0.0003642812371254002,0.0016526000000000006,1.0171794879449658,0.7936937068783019,0.2204291644229699,1.2267738328748532,1.0728237916350336,0.4275475908252626,0.7098312053912057,-0.02283217835426332
34,0.00362676,0.00742576,0.0110525,1.01140683244154,0.0599805118214222,9.1032,5.63726441836978,0.187042716255469,0.0455836463696085,1462.50493972795,12.7611940813631,0.15100000000000002,1.81460799129119,1.52651513899638,0.208298980667862,0.977509316872473,1027.70040296229,482.655570234947,7.41418631391045,0.0050000000000000044,-0.0010000000000000009,0.0050000000000000044,-0.0010000000000000009,0.0030000000000000027,-0.0010000000000000009,-0.0010000000000000009,-0.0010000000000000009,-0.0010000000000000009,0.15100000000000002,-0.0010000000000000009,0.15700000000000003,-0.0030000000000000027,0.008,0.0,38,5,0,0,0.0036909412592649,0.0058603663928806,0.0,1.0012985467910769,6.663407325744629,0.2000852525234222,0.0194877050817012,0.363314151763916,9.145455029797336,0.1253479272127151,6.663407325744629,0.2000852823257446,0.0194877054398401,0.00038944324478500016,0.0017264000000000003,1.0176965829734805,0.789194155598969,0.2255811195464551,1.1820285214990138,1.0697302548265994,0.4275152743088589,0.7166613854070037,-0.02565207278728493
35,0.00357107,0.00750653,0.0110776,1.01163853531207,0.0605436211021845,9.73617,5.94547041405221,0.192257609743652,0.0442988984097433,1501.64108159434,12.8342516319099,0.15700000000000003,1.9066154953496,1.62231723036351,0.18523612733497,0.976405223284651,1064.61115481468,484.893586090449,7.53567479782188,0.0050000000000000044,-0.0010000000000000009,0.0050000000000000044,-0.0010000000000000009,0.0030000000000000027,-0.0010000000000000009,-0.0010000000000000009,-0.0010000000000000009,-0.0010000000000000009,0.15900000000000003,-0.0010000000000000009,0.16500000000000004,-0.0010000000000000009,0.008,0.0,39,6,0,0,0.0036404286511242,0.0058869225904345,0.0,1.001267671585083,6.758500099182129,0.2050632834434509,0.01898043602705,0.3731867969036102,9.103529627019286,0.1312988996505737,6.758500099182129,0.2050632834434509,0.0189804378097459,0.0004159994423389001,0.0018071700000000003,1.019422372320957,0.7842402002569097,0.23019386241410605,1.1367477471939498,1.0666068496163739,0.4284629349355414,0.7093151893940671,-0.025701100349426326
36,0.00351967,0.00758112,0.0111008,1.01185784095462,0.0610715456025091,10.3867,6.26227833900165,0.197443879310387,0.0431802283576218,1536.48925898973,12.896331276225,0.16500000000000004,2.00184173110511,1.72379247660069,0.168133358703315,0.975284660684334,1103.11931989792,487.81765809335,7.64691106876757,0.0050000000000000044,-0.0010000000000000009,0.0050000000000000044,-0.0010000000000000009,0.0030000000000000027,-0.0010000000000000009,-0.0010000000000000009,-0.0010000000000000009,-0.0010000000000000009,0.16500000000000004,-0.0010000000000000009,0.17100000000000004,-0.0030000000000000027,0.008,0.0,38,5,0,0,0.0035948785953223,0.0059084463864564,0.0,1.0013301372528076,6.8511199951171875,0.2100006937980651,0.0185051672160625,0.3962282836437225,9.05793909100261,0.1352662146091461,6.8511199951171875,0.210000678896904,0.0185051656082003,0.0004375232383608003,0.0018817600000000006,1.0213680814742008,0.7793632585233317,0.23250746022914726,1.0940299399418603,1.0635968789285104,0.42855649263365064,0.7023655718042348,-0.029733785390853945
