cycle,fem_E_el,fem_E_d,fem_total_energy,pidl_E_el,pidl_E_d,pidl_E_hist,pidl_E_el_outside_precrack,pidl_E_d_outside_precrack,pidl_total_energy,delta_fem_E_el_from_c1,delta_fem_E_d_from_c1,delta_fem_total_energy_from_c1,delta_pidl_E_el_from_c1,delta_pidl_E_d_from_c1,delta_pidl_E_hist_from_c1,delta_pidl_total_energy_from_c1,delta_pidl_E_el_outside_precrack_from_c1,delta_pidl_E_d_outside_precrack_from_c1,ratio_abs_E_d_pidl_over_fem,ratio_delta_E_d_pidl_over_fem,ratio_delta_E_d_outside_precrack_pidl_over_fem
24,0.00409634,0.00671919,0.0108155,0.0041436529718339,0.0055731474421918,8.547091506772019e-11,0.0041318763978779,0.0002103325386997,0.009716800499496615,-0.0007395299999999995,0.0010198300000000002,0.0002803000000000007,-0.0006447113119065996,0.00014030700549480003,1.3448055169451565e-11,-0.0005044042929637435,-0.0006342036649584996,0.0001411150878993482,0.829437393821547,0.13757881754292384,0.13837118725606048
25,0.00405295,0.00678334,0.0108363,0.0041052508167922,0.005586665123701,6.39701278060123e-11,0.0040936334989964,0.0002237394510302,0.009691916004463327,-0.0007829200000000003,0.00108398,0.0003011000000000003,-0.0006831134669482994,0.00015382468700400002,-8.05273209225632e-12,-0.0005292887879970315,-0.00067244656384,0.0001545220002298482,0.8235861867016839,0.14190731102418866,0.14255060077662707
26,0.00400747,0.00685163,0.0108591,0.0040609752759337,0.0056044966913759,8.884906699258009e-11,0.0040495344437658,0.0002415457274764,0.009665472056158666,-0.0008284,0.0011522700000000004,0.00032390000000000023,-0.0007273890078067996,0.00017165625467889956,1.6826207094311472e-11,-0.000555732736301693,-0.0007165456190706002,0.0001723282766760482,0.8179800560415404,0.14897225014874943,0.1495554658856415
27,0.00396229,0.00692012,0.0108824,0.0040215067565441,0.0056189917959272,6.849062983427244e-11,0.0040101474151015,0.0002559010172262,0.00964049862096193,-0.0008735799999999997,0.0012207600000000004,0.00034720000000000063,-0.0007668575271963995,0.00018615135923020013,-3.5322300639961797e-12,-0.0005807061714984286,-0.0007559326477348995,0.00018668356642584822,0.8119789535336381,0.15248808875634856,0.15292405257859706
28,0.00391499,0.00699134,0.0109063,0.0039780363440513,0.0056363530457019,7.445651040161039e-11,0.0039668097160756,0.0002732874709181,0.00961438946420971,-0.0009208799999999998,0.0012919800000000007,0.00037110000000000094,-0.0008103279396891993,0.00020351260900489977,2.4336505033417666e-12,-0.000606815328250649,-0.0007992703467608001,0.00020407002011774822,0.8061906652661578,0.15751993761892571,0.15795137704743736
29,0.00386976,0.00706041,0.0109302,0.0039347596466541,0.0056537385098636,8.31609781037912e-11,0.0039236238226294,0.0002905286091845,0.009588498239678679,-0.0009661100000000001,0.00136105,0.0003949999999999995,-0.0008536046370863993,0.00022089807316660014,1.1138118205522574e-11,-0.00063270655278168,-0.0008424562402070002,0.0002213111583841482,0.8007663166676724,0.1622997488458177,0.1626032536528035
30,0.00382178,0.00713336,0.0109551,0.0038936415221542,0.0056692925281822,6.245245987024362e-11,0.0038829550612717,0.0003056007262784,0.00956293411278886,-0.00101409,0.0014340000000000004,0.00041990000000000083,-0.0008947227615862998,0.00023645209148519947,-9.570400028025006e-12,-0.0006582706796714986,-0.0008831250015647,0.0002363832754780482,0.7947576637352103,0.16488988248619205,0.16484189363880622
31,0.00377496,0.00720435,0.0109793,0.0038450635038316,0.0056902808137238,6.693320203643438e-11,0.0038345512002706,0.0003266097919549,0.009535344384488602,-0.00106091,0.0015049900000000003,0.0004441000000000011,-0.0009433007799088998,0.0002574403770267998,-5.08965786183424e-12,-0.000685860407971757,-0.0009315288625658001,0.0002573923411545482,0.7898395849346298,0.17105786551857471,0.17102594778340596
32,0.00372869,0.00727474,0.0110034,0.003802903695032,0.0057064201682806,6.893598192281303e-11,0.0037925173528492,0.0003426787443459,0.009509323932248582,-0.0011071799999999997,0.0015753800000000004,0.0004682000000000002,-0.0009854605887084996,0.0002735797315835996,-3.086877975455593e-12,-0.0007118808602117766,-0.0009735627099872,0.0002734612935455482,0.784415686097455,0.17365951807411517,0.17358433745861196
33,0.00367663,0.00735196,0.0110286,0.0037542269565165,0.0057277814485132,6.37845401496584e-11,0.0037439293228089,0.0003639866481535,0.009482008468814241,-0.0011592399999999997,0.0016526000000000006,0.0004933999999999997,-0.0010341373272239997,0.0002949410118161999,-8.238319748610223e-12,-0.0007391963236461178,-0.0010221507400275,0.0002947691973531482,0.7790822377315981,0.17847090149836609,0.17836693534621087
34,0.00362676,0.00742576,0.0110525,0.0037076885346323,0.0057472642511129,7.362725013004834e-11,0.003697533160448,0.0003833832161035,0.00945495285937245,-0.0012091099999999998,0.0017264000000000003,0.0005173,-0.0010806757491081996,0.0003144238144158996,1.6043902317797176e-12,-0.0007662519330879081,-0.0010685469023883998,0.0003141657653031482,0.7739631029164556,0.1821268619183848,0.18197738954074846
35,0.00357107,0.00750653,0.0110776,0.0036622879561036,0.0057659582234919,8.0281170600216e-11,0.0036522084847092,0.0004020510241389,0.00942824625987667,-0.0012648,0.0018071700000000003,0.0005424000000000002,-0.0011260763276368995,0.0003331177867949,8.25831070194738e-12,-0.0007929585325836888,-0.0011138715781272,0.0003328335733385482,0.7681256484010455,0.1843311845564612,0.18417391465028088
36,0.00351967,0.00758112,0.0111008,0.0036142619792371,0.0057863253168761,8.136598339536505e-11,0.0036043007858097,0.0004225012671668,0.009400587377479184,-0.0013162,0.0018817600000000006,0.0005655999999999994,-0.0011741023045033997,0.0003534848801791,9.343123497096428e-12,-0.0008206174149811753,-0.0011617792770267001,0.0003532838163664482,0.7632546796352122,0.18784801471978355,0.18774116591193782
37,0.00346131,0.00766417,0.0111255,0.0035650157369673,0.0058081215247511,8.40052818973369e-11,0.0035552813205868,0.0004441134806256,0.009373137345723682,-0.00137456,0.00196481,0.0005903000000000002,-0.0012233485467731996,0.0003752810880540995,1.198242199906828e-11,-0.0008480674467366764,-0.0012107987422495998,0.0003748960298252482,0.7578278567347931,0.19100121032267725,0.19080523298703092
38,0.0034056,0.00774352,0.0111491,0.0035171851050108,0.005829045549035,7.685435621240799e-11,0.0035076951608061,0.0004647044697776,0.009346230730900157,-0.00143027,0.0020441600000000006,0.0006139000000000006,-0.0012711791787296998,0.0003962051123380002,4.831496314139372e-12,-0.000874974061560202,-0.0012583849020302998,0.0003954870189772482,0.7527643176533412,0.19382294553166096,0.19347165533874455
39,0.00334552,0.00782869,0.0111742,0.0034681456163525,0.0058509036898612,7.758366171728426e-11,0.003458856139332,0.0004862939822487,0.009319049383797361,-0.00149035,0.0021293299999999996,0.0006390000000000007,-0.0013202186673879996,0.00041806325316419944,5.560801819015637e-12,-0.0009021554086629975,-0.0013072239235043998,0.0004170765314483482,0.7473668889509228,0.19633558591866904,0.19587219052394336
