cycle,fem_E_el,fem_E_d,fem_total_energy,fem_d_max,fem_d_mean,d_p99,d_p999,fem_alpha_bar_monitor_max,fem_alpha_bar_elem_max,alpha_bar_elem_p999,alpha_bar_elem_p99,fem_alpha_bar_elem_mean,fem_f_min,f_fatigue_p001,f_fatigue_mean,fem_psi_max,psi_plus_elem_p999,psi_plus_elem_p99,psi_plus_elem_mean,psi_tip_top10_mean,psi_nominal_mean,fem_Kt_proxy,x_max_d,y_max_d,x_max_alpha_bar_elem,y_max_alpha_bar_elem,x_min_f_fatigue_elem,y_min_f_fatigue_elem,x_max_psi_plus_elem,y_max_psi_plus_elem,fem_x_tip_d095,y_tip_d095,x_tip_d090,y_tip_d090,x_tip_d050,y_tip_d050,width_y_d050_near_tip,width_y_d090_near_tip,n_elem_d050_near_tip,n_elem_d090_near_tip,fem_right_boundary_d095_count,right_boundary_d095_yspan,pidl_E_el,pidl_E_d,pidl_E_hist,pidl_alpha_max,pidl_hist_max,pidl_hist_mean,pidl_f_min,pidl_psi_max,pidl_Kt,pidl_x_tip,pidl_alpha_bar_saved_max,pidl_alpha_bar_saved_mean,pidl_saved_f_min,ratio_E_el_pidl_over_fem,ratio_E_d_pidl_over_fem,fem_E_d_increment_from_first,pidl_E_d_increment_from_first,ratio_E_d_increment_pidl_over_fem,ratio_hist_max_pidl_over_fem_elem,ratio_hist_mean_pidl_over_fem_elem,ratio_f_min_pidl_over_fem,delta_x_tip_pidl_minus_fem_d095,ratio_Kt_pidl_over_fem_proxy
26,0.00386225,0.0137657,0.017628,1,0.147788102864386,1,1,1.37894,1.326127246109,1.05768819355004,1.0001867652018,0.243134903067566,0.300584046575282,0.413876916669398,0.929533186175839,1204.81614763828,270.198483923938,7.1788246253601,1.45339139428157,1129.83159807863,1.69818832814242,25.7937171108037,-0.499,-0.019,0.049,-0.001,0.049,-0.001,0.003,-0.001,0.1009999999999999,-0.001,0.1009999999999999,-0.001,0.1069999999999999,-0.003,0.008,0.0,38,5,0,0,0.0040539507754147,0.0056838868185877,0.0,1.0011159181594849,5.820263385772705,0.1585873961448669,0.0250339675694704,0.399776428937912,8.577914135649603,0.0847909078001976,5.820263385772705,0.15858739614486694,0.02503396529207176,1.0496344813035667,0.41290212764971634,0.0010466,0.00021296367049210025,0.2034814355934457,4.38891773232922,0.6522609224097958,0.08328441863331087,-0.016209092199802294,0.3325582776146965
27,0.00380887,0.0138326,0.0176415,1,0.148223794192808,1,1,1.3867,1.33402319547468,1.10278267505031,1.0001939998614,0.247647718363789,0.297990972677407,0.395892070540908,0.928956929877955,1255.28280988155,333.429351098323,7.18405390142057,1.5393393861856,1181.56954519563,1.79865604817625,25.6304117466846,-0.499,-0.019,0.049,-0.001,0.049,-0.001,0.003,-0.001,0.1069999999999999,-0.001,0.1069999999999999,-0.001,0.1129999999999999,-0.003,0.008,0.0,38,5,0,0,0.0040116580203175,0.0057046678848564,0.0,1.001111388206482,5.935565948486328,0.1639371812343597,0.0241449624300003,0.3946956396102905,8.682198587825022,0.08875823020935059,5.935565948486328,0.16393718123435974,0.024144961086246808,1.0532409928187363,0.4124074927964663,0.0011135,0.00023374473676080008,0.20991893736937592,4.4493723712010125,0.6619773536275414,0.08102581837651393,-0.018241769790649315,0.3387459660669751
28,0.0037534,0.0139022,0.0176556,1,0.148677426459712,1,1,1.394,1.34145679393565,1.12380095599578,1.00020129043415,0.252110371574501,0.295580256950945,0.379273507903658,0.928338730243181,1306.14185897296,396.642406261643,7.18890599994432,1.63229602401646,1235.00157892907,1.90731609495971,25.4461697270563,-0.499,-0.019,0.049,-0.001,0.049,-0.001,0.003,-0.001,0.1129999999999999,-0.001,0.1149999999999999,-0.001,0.119,-0.003,0.008,0.0,38,6,0,0,0.0039675389416515,0.0057240473106503,0.0,1.0011261701583862,6.0564656257629395,0.169238805770874,0.0232627149671316,0.4145223796367645,8.784321748882007,0.09393833577632904,6.0564656257629395,0.16923879086971283,0.023262716216807516,1.057051990635557,0.4117367978197911,0.0011830999999999994,0.00025312416255470014,0.21394993031417484,4.5148421128004435,0.6712885499867757,0.07870185650116787,-0.019061664223670866,0.3452119451809617
29,0.00369328,0.0139778,0.017671,1,0.149170089048421,1,1,1.40131,1.3484810793557,1.15905312457113,1.00020853380137,0.256524532190894,0.293148152752232,0.36469311829142,0.927684978818873,1359.40157891724,476.619739092296,7.19418811398512,1.73694655670636,1291.04155703629,2.02964516098065,25.2208693336308,-0.499,-0.019,0.049,-0.001,0.061,-0.001,0.003,-0.001,0.119,-0.001,0.121,-0.001,0.127,-0.001,0.008,0.0,39,6,0,0,0.0039237989112734,0.0057438369840383,0.0,1.001172661781311,6.15127420425415,0.1744954735040664,0.0226042587310075,0.3937525451183319,8.845824902174686,0.09988930821418762,6.15127420425415,0.17449547350406647,0.022604260066484232,1.0624157689840465,0.4109256810111963,0.0012586999999999997,0.0002729138359427001,0.2168219877196315,4.561631822964257,0.6802291851533901,0.07710865144053136,-0.019110691785812373,0.35073433770893886
30,0.00363598,0.0140496,0.0176856,1,0.149644201534589,1,1,1.44464,1.35584042917815,1.17576470791079,1.0002157828689,0.260877766423467,0.290761382190479,0.356135809788713,0.926997884409412,1408.06408770845,550.566040117911,7.19769236690925,1.83962898775328,1342.33174585058,2.14967333513741,24.9887018832978,-0.499,-0.019,0.061,-0.001,0.061,-0.001,0.003,-0.001,0.127,-0.001,0.127,-0.001,0.133,-0.003,0.008,0.0,38,5,0,0,0.0038766865618526,0.005767960101366,0.0,1.0012478828430176,6.23417854309082,0.1797051727771759,0.0220511239022016,0.4232363700866699,8.906079679931844,0.10506942123174667,6.23417854309082,0.1797051727771759,0.02205112477633129,1.0662012887454275,0.4105426561159036,0.0013305,0.00029703695327039977,0.22325212571995473,4.598017885386189,0.6888481730001913,0.0758392456937621,-0.021930578768253328,0.35640425507195234
31,0.00357947,0.0141207,0.0177001,1,0.150112479455207,1,1,1.48746,1.36299591532856,1.19889111856637,1.00022308487141,0.265174240289832,0.288523864054656,0.347735450853784,0.926267388453201,1454.18482284897,621.402377506527,7.20116607257195,1.94376878471037,1391.0152542682,2.27140477172692,24.7467789720945,-0.499,-0.019,0.061,-0.001,0.061,-0.001,0.003,-0.001,0.133,-0.001,0.133,-0.001,0.139,-0.003,0.008,0.0,38,5,0,0,0.003830918110907,0.0057907365262508,0.0,1.001270413398743,6.3380584716796875,0.1848675161600113,0.0213862359523773,0.4540714621543884,8.899269841491819,0.10903673619031906,6.3380584716796875,0.1848675161600113,0.02138623722132104,1.0702473022282628,0.4100884889736911,0.0014015999999999994,0.00031981337815520025,0.22817735313584503,4.6500935185501655,0.6971548818541103,0.07412293614758339,-0.023963263809680946,0.35961325922565546
32,0.00351545,0.0142012,0.0177167,1,0.150643434726052,1,1,1.52968,1.36978947309884,1.20419870764129,1.00023035432138,0.269424443885892,0.286423416736849,0.344357755379644,0.925495625532219,1504.79199560789,699.937701804353,7.20317133994325,2.06633734459527,1444.53075074203,2.41467769369835,24.4587248024157,-0.499,-0.019,0.061,-0.001,0.061,-0.001,0.003,-0.001,0.141,-0.001,0.141,-0.001,0.147,-0.003,0.008,0.0,38,5,0,0,0.0037856409326195,0.0058127562515437,0.0,1.0012680292129517,6.43964147567749,0.1899847239255905,0.0207647141069173,0.3894725441932678,8.91747226860675,0.11498770862817764,6.43964147567749,0.18998472392559052,0.020764712960355945,1.076858135550072,0.40931444184602,0.0014821,0.00034183310344809963,0.23064105218817868,4.701190658962543,0.7051502869800996,0.07249656590052776,-0.026012291371822344,0.36459268995601946
33,0.00345507,0.0142771,0.0177322,1,0.151150408992663,1,1,1.57131,1.37630215853023,1.21294217244222,1.00023760887877,0.273609507137204,0.284431355972246,0.341191709017254,0.924690682405865,1550.317087207,771.294225795794,7.20531623758269,2.18464760016808,1492.76457486598,2.55297270039166,24.1809063283773,-0.499,-0.019,0.061,-0.001,0.061,-0.001,0.003,-0.001,0.147,-0.001,0.149,-0.001,0.153,-0.003,0.008,0.0,38,6,0,0,0.0037397926207631,0.005835204385221,0.0,1.001318097114563,6.549653053283691,0.1950585544109344,0.0201216917484998,0.3980754315853119,9.00257235496749,0.1201678216457367,6.549653053283691,0.19505853950977325,0.02012169270894622,1.0824071931286774,0.4087107595534808,0.0015579999999999986,0.0003642812371254002,0.23381337427817747,4.758877265932756,0.7129085405395672,0.07074357775963075,-0.026832178354263297,0.372300865513986
34,0.00339132,0.0143575,0.0177488,1,0.151683963647341,1,1,1.61232,1.38256727113652,1.21708579599931,1.00024486982593,0.277739903202411,0.282534657837735,0.339545145843955,0.923850059972184,1596.47173156947,844.276772662378,7.20725055356549,2.3131742876806,1541.73081746334,2.70320957936709,23.8816548764567,-0.499,-0.019,0.061,-0.001,0.061,-0.001,0.003,-0.001,0.155,-0.001,0.155,-0.001,0.161,-0.003,0.008,0.0,38,5,0,0,0.0036909412592649,0.0058603663928806,0.0,1.0012985467910769,6.663407325744629,0.2000852525234222,0.0194877050817012,0.363314151763916,9.145455029797336,0.12534792721271515,6.663407325744629,0.20008528232574463,0.019487705439840162,1.0883494507344926,0.40817457028595505,0.0016384,0.00038944324478500016,0.23769729295959482,4.819589950416712,0.720405135223239,0.06897456485813983,-0.02965207278728485,0.38294896551801433
35,0.00332978,0.014435,0.0177648,1,0.152204183768317,1,1,1.65269,1.40166744900527,1.23373834960818,1.00025223637983,0.281806749528341,0.280716910350751,0.337927456453419,0.922972819726278,1639.12426675685,912.293399245687,7.20967965737602,2.4402739959146,1587.0457173829,2.85177817113399,23.5904838509269,-0.499,-0.019,0.499,-0.48875,0.061,-0.001,0.003,-0.001,0.161,-0.001,0.163,-0.001,0.167,-0.003,0.008,0.0,38,6,0,0,0.0036404286511242,0.0058869225904345,0.0,1.001267671585083,6.758500099182129,0.2050632834434509,0.01898043602705,0.3731867969036102,9.103529627019286,0.13129889965057373,6.758500099182129,0.20506328344345093,0.018980437809745933,1.0932940467911394,0.4078228327284032,0.0017158999999999994,0.0004159994423389001,0.2424380455381434,4.821757189252326,0.7276734279312495,0.06761415264700038,-0.029701100349426274,0.38589838532123183
36,0.00326885,0.0145119,0.0177807,1,0.152720632772176,1,1,1.69242,1.43551984995191,1.24389711978496,1.00025957950894,0.28581319177938,0.275175210499747,0.330403677935053,0.922052355210191,1679.58221185467,977.319483135269,7.21023488329085,2.56897174096722,1630.08637499775,3.00221448356861,23.30153067969,-0.499,-0.019,0.499,-0.48875,0.499,-0.48875,0.003,-0.001,0.169,-0.001,0.169,-0.001,0.175,-0.003,0.008,0.0,38,5,0,0,0.0035948785953223,0.0059084463864564,0.0,1.0013301372528076,6.8511199951171875,0.2100006937980651,0.0185051672160625,0.3962282836437225,9.05793909100261,0.13526621460914612,6.8511199951171875,0.210000678896904,0.018505165608200303,1.0997380104080334,0.4071449215096852,0.001792799999999999,0.0004375232383608003,0.24404464433333364,4.772570713910157,0.7347480796483502,0.06724867106471974,-0.03373378539085389,0.3887272134829176
37,0.00320428,0.0145935,0.0177978,1,0.153269078671665,1,1,1.73145,1.46878783056298,1.2503993626329,1.00026683710851,0.289765038103165,0.266038456030983,0.326442135640116,0.92108365628366,1720.82922280257,1044.14708430945,7.21095833564476,2.70912586833956,1674.02204914425,3.16604203889497,22.9944088165446,-0.499,-0.019,0.499,-0.48875,0.499,-0.48875,0.003,-0.001,0.175,-0.001,0.177,-0.001,0.183,-0.001,0.008,0.0,41,6,0,0,0.0035416646860539,0.0059365723282098,0.0,1.001299262046814,6.939946174621582,0.2148853540420532,0.0180659350007772,0.3647531569004059,9.237538214270074,0.14242999255657196,6.939946174621582,0.21488532423973083,0.01806593373050292,1.1052918864936585,0.4067956506807688,0.0018744,0.00046564918011419987,0.24842572562644039,4.724948035525002,0.7415848214426324,0.06790723142173563,-0.03257000744342803,0.40172975474036177
38,0.00313589,0.0146799,0.0178158,1,0.153852792223055,1,1,1.76972,1.50141600566864,1.25443118976939,1.00027408136462,0.293659473229373,0.257511781622488,0.32490836216304,0.920079182089073,1762.63678360347,1112.45229598785,7.21126685389505,2.86131135715177,1718.61574533147,3.34393290024613,22.6704748078633,-0.499,-0.019,0.499,-0.48875,0.499,-0.48875,0.003,-0.001,0.183,-0.001,0.185,-0.001,0.1909999999999999,-0.001,0.008,0.0,41,6,0,0,0.0034893359988927,0.0059639788232743,0.0,1.001250147819519,7.034866809844971,0.2197223454713821,0.0176136270165443,0.3819230198860168,9.418070769416554,0.14838096499443054,7.034866809844971,0.21972234547138214,0.017613628826752544,1.112709948018808,0.40626835491211116,0.0019607999999999987,0.0004930556751787003,0.2514563826900758,4.685488088101249,0.7482215474103241,0.06839930548251909,-0.034619035005569454,0.41543332679339723
39,0.00307022,0.0147631,0.0178333,1,0.154416546175999,1,1,1.80722,1.53341407788402,1.25969785650992,1.00028135777135,0.297485432222916,0.249541185147189,0.322980474813933,0.919037814271694,1800.74594770782,1175.25530558216,7.21140992929003,3.0098918407332,1759.32603917217,3.517609592245,22.3639929583373,-0.499,-0.019,0.499,-0.48875,0.499,-0.48875,0.003,-0.001,0.1909999999999999,-0.001,0.1929999999999999,-0.001,0.1969999999999999,-0.003,0.008,0.0,38,6,0,0,0.0034403109457343,0.0059890341944992,0.0,1.001220703125,7.127351760864258,0.224515825510025,0.0171890743076801,0.4301707446575165,9.300976194550103,0.15433193743228912,7.127351760864258,0.22451582551002502,0.01718907270014523,1.1205421584558437,0.40567592135115255,0.002043999999999999,0.0005181110464035996,0.2534789855203522,4.6480281247315745,0.7547119999536233,0.06888271488147867,-0.03666806256771077,0.41589067801430774
40,0.00300174,0.0148499,0.0178516,1,0.155006192009309,1,1,1.84392,1.56473340628796,1.26552715148271,1.00028863110295,0.301251065950041,0.24209207356581,0.320852457381985,0.917956645147427,1838.75310881521,1238.42629567592,7.21028693071294,3.16846585432666,1799.98486781212,3.70296754224244,22.0475062491923,-0.499,-0.019,0.499,-0.48875,0.499,-0.48875,0.003,-0.001,0.1989999999999999,-0.001,0.2009999999999999,-0.001,0.2049999999999999,-0.003,0.008,0.0,38,6,0,0,0.0033862898126244,0.0060175852850079,0.0,1.0011467933654783,7.20160436630249,0.229257583618164,0.0168592222034931,0.3894275426864624,9.555183575581882,0.15951204299926758,7.20160436630249,0.22925758361816406,0.016859224349543657,1.1281089676735492,0.40522732712057996,0.0021307999999999987,0.0005466621369122999,0.25655253281035306,4.602448146989436,0.761018331653584,0.06963971168147358,-0.03948795700073232,0.4333906731937963
41,0.00293467,0.014935,0.0178696,1,0.155588155935777,1,1,1.8798,1.595369452174,1.27121715932888,1.000295890079,0.304949691095922,0.235122940031824,0.318795488771664,0.916833430979049,1874.1728183921,1297.81639995696,7.20936792134159,3.32666854244779,1837.93387759758,3.88789121019017,21.7424204315606,-0.499,-0.019,0.499,-0.48875,0.499,-0.48875,0.003,-0.001,0.2069999999999999,-0.001,0.2089999999999999,-0.001,0.2129999999999999,-0.003,0.008,0.0,38,6,0,0,0.0033340007066726,0.0060453009791672,0.0,1.0011595487594604,7.261992454528809,0.2339525669813156,0.0165979173034429,0.3660056591033935,9.565476835965491,0.16546301543712616,7.261992454528809,0.23395255208015442,0.01659791619892425,1.136073461981279,0.40477408631852696,0.0022159,0.0005743778310716005,0.2592074692321858,4.551918958102737,0.7671841415564044,0.07059250493038392,-0.04153698456287375,0.43994535318986616
42,0.00286682,0.0150212,0.017888,1,0.156178315483233,1,1,1.91482,1.62529437133249,1.28172767313986,1.00030313378322,0.3085847920088,0.228601461354492,0.316801085683375,0.915664966723193,1908.4214605621,1355.57738139958,7.20787565938496,3.48976066463709,1874.57444124923,4.07852993141377,21.438752903753,-0.499,-0.019,0.499,-0.48875,0.499,-0.48875,0.005,-0.001,0.2149999999999999,-0.001,0.2169999999999999,-0.001,0.2209999999999999,-0.003,0.008,0.0,38,6,0,0,0.0032822387292981,0.0060725146904587,0.0,1.001131892204285,7.321109771728516,0.2386005222797393,0.0163479465991258,0.417654812335968,9.598101694992113,0.17141400277614594,7.321109771728516,0.23860050737857819,0.016347947608290198,1.1449057594470877,0.4042629543883777,0.0023020999999999996,0.0006015915423631,0.2613229409509144,4.5044823269315435,0.7732089476170136,0.07151287005018336,-0.04358599722385398,0.44769869488592784
43,0.00279806,0.0151087,0.0179068,1,0.156778879064157,1,1,1.94896,1.65447809897849,1.29355234044098,1.0003103783976,0.312156041595741,0.222498715638259,0.313793195766706,0.914442859047746,1942.04428270279,1411.82990274994,7.20602321511554,3.65814081070515,1909.99266404785,4.27534961351977,21.136351966742,-0.499,-0.019,0.499,-0.48875,0.499,-0.48875,0.005,-0.001,0.2229999999999999,-0.001,0.2249999999999999,-0.001,0.2289999999999999,-0.003,0.008,0.0,38,6,0,0,0.0032281009480357,0.006101528648287,0.0,1.0011725425720217,7.381838321685791,0.2431965172290802,0.0160969998687505,0.4067526459693908,9.612096631014127,0.17736497521400452,7.381838321685791,0.2431965172290802,0.016097000439865883,1.1536925398439277,0.4038420677018539,0.0023895999999999987,0.0006306055001913998,0.2638958403880985,4.46173226846792,0.7790863697074711,0.07234648443958297,-0.045635024785995376,0.4547661131939295
