cycle,E_el,E_d,total_energy,d_max,d_mean,d_p99,d_p999,alpha_bar_monitor_max,alpha_bar_elem_max,alpha_bar_elem_p999,alpha_bar_elem_p99,alpha_bar_elem_mean,f_fatigue_min,f_fatigue_p001,f_fatigue_mean,psi_plus_elem_max,psi_plus_elem_p999,psi_plus_elem_p99,psi_plus_elem_mean,psi_tip_top10_mean,psi_nominal_mean,Kt_proxy,x_max_d,y_max_d,x_max_alpha_bar_elem,y_max_alpha_bar_elem,x_min_f_fatigue_elem,y_min_f_fatigue_elem,x_max_psi_plus_elem,y_max_psi_plus_elem,x_tip_d095,y_tip_d095,x_tip_d090,y_tip_d090,x_tip_d050,y_tip_d050,width_y_d050_near_tip,width_y_d090_near_tip,n_elem_d050_near_tip,n_elem_d090_near_tip,right_boundary_d095_count,right_boundary_d095_yspan
11,0.00465166,0.0127578,0.0174095,1,0.140930820794899,1,1,1.291,1.12859102773237,1.00088435051352,1.00007822390613,0.169169749391014,0.381225106580915,0.44392119239948,0.936275081784282,18.4914788900149,7.24390232616709,7.061717990085,0.567215186645375,11.6168333923084,0.662262447594816,4.18821353018225,-0.499,-0.019000000000000017,-0.0010000000000000009,0.019000000000000017,-0.0010000000000000009,0.019000000000000017,-0.499,0.017000000000000015,0.0010000000000000009,-0.0050000000000000044,0.0010000000000000009,-0.019000000000000017,0.013000000000000012,-0.007000000000000006,0.046,0.036,191,94,0,0
12,0.00464131,0.0127755,0.0174168,1,0.14117840663471,1,1,1.3024,1.13375624898893,1.00099694655563,1.00008535737103,0.174415366895496,0.379119579737518,0.443860268931877,0.935799808799914,18.4906881834146,7.24349049014705,7.06279777611155,0.568729756792309,11.6159378085248,0.664034475286162,4.18246028024703,-0.499,-0.019000000000000017,-0.0010000000000000009,0.019000000000000017,-0.0010000000000000009,0.019000000000000017,-0.499,0.017000000000000015,0.0010000000000000009,-0.01100000000000001,0.0010000000000000009,-0.019000000000000017,0.015000000000000013,-0.007000000000000006,0.046,0.036,192,94,0,0
13,0.00453934,0.0129211,0.0174605,1,0.142362576911003,1,1,1.3084,1.13647388535289,1.00133751897128,1.00009265254573,0.17974007093412,0.378022731200067,0.443653682290758,0.935304146972626,319.612629301415,7.30269542277851,7.07864547742067,0.647113695102358,259.306791722513,0.755670302946526,18.5242557499556,-0.499,-0.019000000000000017,-0.0010000000000000009,0.019000000000000017,-0.0010000000000000009,0.019000000000000017,0.0030000000000000027,-0.0010000000000000009,0.02300000000000002,-0.0010000000000000009,0.025000000000000022,-0.0010000000000000009,0.029000000000000026,-0.0050000000000000044,0.016,0.004,56,13,0,0
14,0.00449125,0.0129812,0.0174724,1,0.142779754584947,1,1,1.30896,1.1367318884362,1.00327634147358,1.00009985436773,0.184912229207297,0.377918966414075,0.44261553758728,0.934894659073336,418.016850238569,7.54485979410671,7.088305411734,0.686338330160708,347.010218381472,0.801525613292859,20.8071419139979,-0.499,-0.019000000000000017,-0.0010000000000000009,0.019000000000000017,-0.0010000000000000009,0.019000000000000017,0.0030000000000000027,-0.0010000000000000009,0.029000000000000026,-0.0010000000000000009,0.031000000000000028,-0.0010000000000000009,0.03500000000000003,-0.0030000000000000027,0.012,0.004,46,8,0,0
15,0.00443961,0.0130454,0.017485,1,0.143199306354788,1,1,1.30908,1.15945004307658,1.01026651473544,1.0001070554704,0.190042263921132,0.363145083246743,0.43871867370963,0.934493805357074,509.089213579146,7.65465871877211,7.09658060972484,0.731657370511352,431.491026064131,0.854504845107545,22.4713218049057,-0.499,-0.019000000000000017,0.03300000000000003,-0.0010000000000000009,0.03300000000000003,-0.0010000000000000009,0.0030000000000000027,-0.0010000000000000009,0.03500000000000003,-0.0010000000000000009,0.03700000000000003,-0.0010000000000000009,0.041000000000000036,-0.0030000000000000027,0.012,0.0,41,6,0,0
16,0.00439065,0.0131061,0.0174968,1,0.143587106695074,1,1,1.30914,1.19316667788062,1.01781274895585,1.00011426225306,0.195118648808471,0.348829546176891,0.43660290256265,0.934100812254515,585.886315309465,7.69175777436447,7.10474797720134,0.776963620904817,504.996495753549,0.907468579438788,23.5900240613488,-0.499,-0.019000000000000017,0.039000000000000035,-0.0010000000000000009,0.039000000000000035,-0.0010000000000000009,0.0030000000000000027,-0.0010000000000000009,0.041000000000000036,-0.0010000000000000009,0.04300000000000004,-0.0010000000000000009,0.04700000000000004,-0.0030000000000000027,0.008,0.0,38,6,0,0
17,0.00434103,0.0131678,0.0175088,1,0.143977076069563,1,1,1.30935,1.21705118453372,1.02112771073067,1.00012146256736,0.200146659035727,0.339192857819043,0.433957161398338,0.9337054436875,656.559726145001,8.24997244168781,7.11408637121781,0.825679535300616,574.636547821557,0.964417731137246,24.409789203059,-0.499,-0.019000000000000017,0.039000000000000035,-0.0010000000000000009,0.039000000000000035,-0.0010000000000000009,0.0030000000000000027,-0.0010000000000000009,0.04700000000000004,-0.0010000000000000009,0.04700000000000004,-0.0010000000000000009,0.05300000000000005,-0.0030000000000000027,0.008,0.0,38,5,0,0
18,0.00428751,0.0132343,0.0175218,1,0.144396423656544,1,1,1.30975,1.23478602096623,1.02505232009337,1.00012870890013,0.205129625499509,0.332292832906911,0.4310028662555,0.933303597355016,728.518234321337,8.49037859943551,7.12414216848816,0.881986228347211,646.42177864137,1.03023991324782,25.0489083846242,-0.499,-0.019000000000000017,0.039000000000000035,-0.0010000000000000009,0.039000000000000035,-0.0010000000000000009,0.0030000000000000027,-0.0010000000000000009,0.05300000000000005,-0.0010000000000000009,0.05300000000000005,-0.0010000000000000009,0.05900000000000005,-0.0030000000000000027,0.008,0.0,38,5,0,0
19,0.00423716,0.013297,0.0175341,1,0.144792393614951,1,1,1.31032,1.24924526126446,1.02736481923568,1.00013593435928,0.210056728847253,0.326821659786343,0.429755615511866,0.932895691988869,792.614266751449,10.1533101837306,7.13389104688145,0.937896332377889,710.800051051651,1.09559793012097,25.4711247925265,-0.499,-0.019000000000000017,0.039000000000000035,-0.0010000000000000009,0.039000000000000035,-0.0010000000000000009,0.0030000000000000027,-0.0010000000000000009,0.05900000000000005,-0.0010000000000000009,0.05900000000000005,-0.0010000000000000009,0.06499999999999995,-0.0030000000000000027,0.008,0.0,38,5,0,0
20,0.00418595,0.0133608,0.0175467,1,0.145196399918694,1,1,1.31303,1.26152380761924,1.03480496796563,1.00014316284346,0.214934510884265,0.322280956906949,0.428859273825747,0.932473515681369,855.388257572587,10.384832720386,7.14171934841773,0.998208486263888,774.120813941807,1.16610135414218,25.7653604472937,-0.499,-0.019000000000000017,0.039000000000000035,-0.0010000000000000009,0.039000000000000035,-0.0010000000000000009,0.0030000000000000027,-0.0010000000000000009,0.06499999999999995,-0.0010000000000000009,0.06499999999999995,-0.0010000000000000009,0.07099999999999995,-0.0010000000000000009,0.008,0.0,34,5,0,0
