cycle,precrack_half_width,precrack_x_max,fem_n_elem_precrack_mask,fem_n_elem_outside_precrack,fem_d_max_outside_precrack,fem_d_mean_outside_precrack,fem_hist_max_outside_precrack,fem_hist_mean_outside_precrack,fem_f_min_outside_precrack,fem_f_mean_outside_precrack,fem_psi_max_outside_precrack,fem_psi_mean_outside_precrack,fem_E_el,fem_E_d,pidl_n_elem_precrack_mask,pidl_n_elem_outside_precrack,pidl_hist_max_outside_precrack,pidl_hist_mean_outside_precrack,pidl_f_min_outside_precrack,pidl_f_mean_outside_precrack,pidl_psi_max_outside_precrack,pidl_psi_mean_outside_precrack,pidl_E_el_outside_precrack,pidl_E_d_outside_precrack,pidl_E_hist_outside_precrack,fem_E_d_increment_from_first,pidl_E_d_outside_increment_from_first,ratio_E_d_outside_increment_pidl_over_fem,ratio_hist_max_outside_pidl_over_fem,ratio_hist_mean_outside_pidl_over_fem,ratio_f_min_outside_pidl_over_fem,ratio_psi_max_outside_pidl_over_fem
14,0.02,0.0,2053,75677,1.0203148126602173,0.006642321590334177,20.43472671508789,0.15932157635688782,0.025624796748161316,0.992214560508728,3886.3046875,0.8371195793151855,0.0044915,0.000553429,11599,55677,2.93815541267395,0.1060366705060005,0.0845958441495895,0.9936451315879822,0.4634394943714142,0.0069211749359965,0.0044980142265558,0.0001045780954882,0.0,0.0005529212690000001,3.711158933578622e-05,0.06711912059904176,0.14378246666272154,0.665551226209772,3.301327420505671,0.00011924939798519444
15,0.02,0.0,2053,75677,1.0200395584106445,0.007497122511267662,23.258852005004883,0.17056258022785187,0.024513015523552895,0.9911242723464966,4507.75732421875,1.0340317487716675,0.00445056,0.000603542,11599,55677,3.0388071537017822,0.1129256039857864,0.0798520743846893,0.9927375316619872,0.425849437713623,0.0068889316171407,0.0044599235989153,0.0001203481151605,0.0,0.000603034269,5.2881609008086214e-05,0.08769254373516576,0.13065163977344565,0.6620772495053185,3.257537788770413,9.447035567457659e-05
16,0.02,0.0,2053,75677,1.0196776390075684,0.008329104632139206,26.190359115600586,0.18173334002494812,0.02348180301487446,0.9899470210075378,5074.1044921875,1.2195496559143066,0.00441214,0.000650327,11599,55677,3.139336109161377,0.1197777763009071,0.0755015090107917,0.991753101348877,0.4858247339725494,0.0068521820940077,0.0044267266057431,0.0001320938026765,0.0,0.0006498192690000001,6.462729652408623e-05,0.09945426306539122,0.11986609634884295,0.6590853185467463,3.2153199208325507,9.574590643936566e-05
17,0.02,0.0,2053,75677,1.019256353378296,0.009216324426233768,29.206680297851562,0.1928577721118927,0.02254018932580948,0.9887021780014038,5663.462890625,1.4360530376434326,0.00437173,0.000699466,11599,55677,3.219871282577514,0.1265827119350433,0.0722676962614059,0.9907166957855223,0.3968971371650696,0.0068049295805394,0.0043885009363293,0.0001473553129471,0.0,0.0006989582690000001,7.988880679468623e-05,0.11429696211904493,0.11024434306607477,0.6563526610771083,3.206170774202695,7.008029271668263e-05
18,0.02,0.0,2053,75677,1.0187883377075195,0.010197723284363747,32.293968200683594,0.2039230316877365,0.021683068946003914,0.9873831868171692,6302.376953125,1.7005823850631714,0.0043273,0.000753381,11599,55677,3.280165433883667,0.1333393603563308,0.0699807107448577,0.989604949951172,0.4625098705291748,0.0067566544748842,0.0043536266312003,0.0001600492541911,0.0,0.000752873269,9.258274803868621e-05,0.12297255308540674,0.10157207728390075,0.6538710181619447,3.227435697369528,7.338657683746475e-05
19,0.02,0.0,2053,75677,1.0182616710662842,0.011107995174825191,35.3970832824707,0.2148905098438263,0.020923152565956116,0.9859978556632996,6877.08447265625,1.9477189779281616,0.00428604,0.000803308,11599,55677,3.3143651485443115,0.1400482207536697,0.0687314420938491,0.9884137511253356,0.4614137411117553,0.006708859000355,0.0043153357692062,0.0001755241391947,0.0,0.000802800269,0.0001080576330422862,0.13460089291809418,0.09363384892748061,0.6517189654184872,3.2849467534678043,6.709438322974909e-05
20,0.02,0.0,2053,75677,1.0177088975906372,0.012136881239712238,38.50833511352539,0.22580039501190186,0.020244861021637917,0.9845482110977173,7511.5458984375,2.236330270767212,0.00423998,0.000859058,11599,55677,3.3537797927856445,0.1467151045799255,0.0673327296972274,0.9871526956558228,0.4396884143352508,0.0066668950021266,0.0042772567830979,0.0001900219067465,0.0,0.000858550269,0.00012255540059408622,0.14274691304544476,0.08709230827296106,0.6497557480897773,3.3259171117678448,5.853501000728915e-05
21,0.02,0.0,2053,75677,1.0171319246292114,0.013083809055387974,41.58119201660156,0.23660704493522644,0.019644655287265778,0.9830161333084106,8077.1591796875,2.5148513317108154,0.00419756,0.000910291,11599,55677,3.3916642665863037,0.1533299535512924,0.0660281702876091,0.985848069190979,0.3920971751213074,0.0066148363985121,0.0042389072477817,0.0002055232325801,0.0,0.0009097832690000001,0.00013805672642768621,0.1517468293074163,0.08156726880826697,0.6480362982990131,3.361126439841906,4.854394551333794e-05
22,0.02,0.0,2053,75677,1.0165398120880127,0.014124041423201561,44.612144470214844,0.24734562635421753,0.019109588116407394,0.9814184308052063,8704.05078125,2.859966516494751,0.00414989,0.000967796,11599,55677,3.4321794509887695,0.1598894745111465,0.0646745339035987,0.984435737133026,0.3972235321998596,0.0065595149062573,0.0042019351385533,0.0002191743260482,0.0,0.0009672882690000001,0.00015170781989578622,0.15683827123492822,0.07693374734048603,0.646421272402742,3.3844022963566376,4.563662852881631e-05
23,0.02,0.0,2053,75677,1.015932321548462,0.015178400091826916,47.575294494628906,0.25800621509552,0.018633753061294556,0.97972571849823,9309.7421875,3.198568820953369,0.00410244,0.00102508,11599,55677,3.457751512527466,0.1663997620344162,0.0638414770364761,0.9829323887825012,0.4091604053974151,0.0065103028900921,0.0041615064255893,0.0002356185286771,0.0,0.001024572269,0.00016815202252468622,0.16411924040146572,0.07267956087834274,0.6449447815542392,3.426120160896926,4.3949703134291556e-05
24,0.02,0.0,2053,75677,1.0153180360794067,0.016281958669424057,50.451927185058594,0.2686009705066681,0.018210269510746002,0.9779220223426819,9903.5283203125,3.5721561908721924,0.00405473,0.00108268,11599,55677,3.482168197631836,0.1728641241788864,0.0630609840154647,0.9813472032546996,0.3980008959770202,0.0064643551595509,0.0041232509538531,0.0002507464960217,0.0,0.001082172269,0.0001832799898692862,0.1693630442393883,0.06901952793317843,0.6435722248240909,3.462935239824539,4.018778793823468e-05
25,0.02,0.0,2053,75677,1.014697790145874,0.017474137246608734,53.23075866699219,0.2791213393211365,0.017832813784480095,0.9759969711303711,10505.109375,3.975909948348999,0.00400511,0.0011423,11599,55677,3.5097880363464355,0.1792794167995453,0.0621952414512634,0.9796831607818604,0.3780237436294555,0.0064152805134654,0.0040833032689988,0.0002672408299986,0.0,0.001141792269,0.0001997743238461862,0.17496556008489333,0.06593533746726057,0.6422992137956159,3.4876852415400617,3.5984750861240364e-05
26,0.02,0.0,2053,75677,1.0140775442123413,0.01865578629076481,55.898250579833984,0.2895267605781555,0.017496248707175255,0.9739817380905151,11090.64453125,4.41976261138916,0.00395546,0.00120186,11599,55677,3.5361361503601074,0.1856425404548645,0.0613858662545681,0.9779475927352904,0.399776428937912,0.0063631422817707,0.0040386570617556,0.0002872498298529,0.0,0.001201352269,0.0002197833237004862,0.18294660889385328,0.0632602293216635,0.6411930285275019,3.5085158699986705,3.604627556238647e-05
27,0.02,0.0,2053,75677,1.0134621858596802,0.019812630489468575,58.44478225708008,0.2998100221157074,0.017195606604218483,0.9718984365463257,11660.330078125,4.860989093780518,0.00390594,0.0012614,11599,55677,3.5654592514038086,0.1919597685337066,0.0605035424232482,0.976131558418274,0.3946956396102905,0.0063172210939228,0.0039966334588825,0.0003061895549762,0.0,0.001260892269,0.0002387230488237862,0.18932866406827512,0.06100560415676601,0.640271353102474,3.5185465576076433,3.384943967844847e-05
28,0.02,0.0,2053,75677,1.012853741645813,0.02107863873243332,60.87712860107422,0.3100000023841858,0.016924476251006126,0.9697366952896118,12302.693359375,5.418614864349365,0.00384876,0.00133045,11599,55677,3.594421148300171,0.1982254087924957,0.0596506148576736,0.9742573499679564,0.4145223796367645,0.0062656281515955,0.0039531500078737,0.0003251908638048,0.0,0.001329942269,0.0002577243576523862,0.1937861241497139,0.059043868048611364,0.6394367976385793,3.524517626010878,3.369362850297222e-05
29,0.02,0.0,2053,75677,1.0122524499893188,0.022337935864925385,63.18302536010742,0.32005026936531067,0.016680192202329636,0.9675265550613403,12899.1123046875,5.960509300231934,0.00379339,0.00139752,11599,55677,3.621511459350586,0.204441636800766,0.058869045227766,0.9723304510116576,0.3937525451183319,0.0062162382528185,0.0039099194109439,0.0003445361217018,0.0,0.001397012269,0.0002770696155493862,0.1983301232906969,0.057317791269253474,0.6387797679601792,3.529278590659409,3.052555368288742e-05
30,0.02,0.0,2053,75677,1.0116634368896484,0.023529723286628723,65.35466003417969,0.3299840986728668,0.016460103914141655,0.9651712775230408,13444.232421875,6.493554592132568,0.00374121,0.00146056,11599,55677,3.6448466777801514,0.2106050848960876,0.0582080446183681,0.9703434705734252,0.4232363700866699,0.0061634327284991,0.0038631977513432,0.0003675535845104,0.0,0.001460052269,0.0003000870783579862,0.20553173658879892,0.05577026452090702,0.6382279805090643,3.5363108836973267,3.148088762568739e-05
31,0.02,0.0,2053,75677,1.0110915899276733,0.024707943201065063,67.38965606689453,0.33980774879455566,0.016261445358395576,0.9626383781433105,13948.74609375,6.999680519104004,0.00369124,0.00152113,11599,55677,3.671478271484375,0.2167200446128845,0.0574671998620033,0.9683017730712892,0.4540714621543884,0.0061149871908128,0.0038183014839887,0.0003894102701451,0.0,0.0015206222690000001,0.0003219437639926862,0.21171843300993126,0.054481332681678506,0.6377725210260324,3.533953999503108,3.255285164003693e-05
32,0.02,0.0,2053,75677,1.010538101196289,0.026054464280605316,69.29776000976562,0.3495502471923828,0.0160804595798254,0.959969699382782,14504.2177734375,7.6095452308654785,0.00363488,0.00158916,11599,55677,3.6928088665008545,0.2227810472249984,0.0568839609622955,0.9661970734596252,0.3894725441932678,0.006060984916985,0.0037730825133621,0.0004106221022084,0.0,0.001588652269,0.0003431555960559862,0.21600422115784368,0.05328900769635922,0.6373362599923605,3.537458657814874,2.6852364620899015e-05
33,0.02,0.0,2053,75677,1.0100022554397583,0.027406468987464905,71.08006286621094,0.35918885469436646,0.015914928168058395,0.9570846557617188,15034.98046875,8.219419479370117,0.00357916,0.0016567,11599,55677,3.714851140975952,0.2287929356098175,0.0562905482947826,0.9640253186225892,0.3980754315853119,0.0060118725523352,0.0037275610957294,0.0004316142876632,0.0,0.0016561922690000001,0.0003641477815107862,0.21987047538306445,0.05226291299106134,0.6369711437858985,3.5369652756434644,2.6476617805570562e-05
34,0.02,0.0,2053,75677,1.0094858407974243,0.02883930318057537,72.74020385742188,0.3687068819999695,0.01576274447143078,0.9540978074073792,15550.806640625,8.844257354736328,0.00352305,0.00172507,11599,55677,3.731724262237549,0.2347503453493118,0.0558425523340702,0.9617985486984252,0.363314151763916,0.0059574586339294,0.0036789728328585,0.0004556407220661,0.0,0.001724562269,0.0003881742159136862,0.22508564804608178,0.051302086938773285,0.6366855537818013,3.5426922282018944,2.3363042198389402e-05
