mapping,pidl_saved_index,field,metric,FEM_projected_to_PIDL,PIDL_native,PIDL_over_FEM_projected,PIDL_minus_FEM
FEM_c1_mixed_to_PIDL_saved_j0,0,psi_plus_active,tip_4l0_mean,0.030356782887119252,0.03116404451429844,1.0265924630479113,0.0008072616271791871
FEM_c1_mixed_to_PIDL_saved_j0,0,psi_plus_active,tip_l0_integral,1.4762812011518655e-05,2.9199913115007803e-05,1.9779370686441464,1.4437101103489148e-05
FEM_c1_mixed_to_PIDL_saved_j0,0,psi_plus_active,tip_l0_mean,0.08787387410701683,0.09012318402528763,1.0255970268880086,0.0022493099182707976
FEM_c1_mixed_to_PIDL_saved_j0,0,psi_plus_active,top1_mean,0.059610846585748424,0.06425782293081284,1.0779552147171718,0.004646976345064412
FEM_c1_mixed_to_PIDL_saved_j1,1,damage_alpha,crack_strip_mean,0.21625153528421673,0.1969757378101349,0.9108639971099031,-0.01927579747408184
FEM_c1_mixed_to_PIDL_saved_j1,1,damage_alpha,domain_mean,0.008654876544287829,0.007841242477297783,0.9059912567410289,-0.000813634066990046
FEM_c1_mixed_to_PIDL_saved_j1,1,damage_alpha,max,1.000079870223999,1.00009286403656,1.0000129927748251,1.2993812561035156e-05
FEM_c1_mixed_to_PIDL_saved_j1,1,damage_alpha,p99,0.9866672110557566,0.935278594493866,0.9479169714103465,-0.05138861656189064
FEM_c1_mixed_to_PIDL_saved_j1,1,damage_alpha,p999,0.9998491406440735,0.9992989897727966,0.9994497661207945,-0.0005501508712768555
FEM_c1_mixed_to_PIDL_saved_j1,1,damage_alpha,right_band_mean,-3.970308575254807e-06,-4.225086740916595e-05,10.641708725739123,-3.828055883391114e-05
FEM_c1_mixed_to_PIDL_saved_j1,1,damage_alpha,tip_2l0_integral,0.0001970158149315067,0.0004048722330480814,2.0550240252988665,0.0002078564181165747
FEM_c1_mixed_to_PIDL_saved_j1,1,damage_alpha,tip_2l0_mean,0.31573045411603595,0.3203102946281433,1.0145055393054487,0.004579840512107358
FEM_c1_mixed_to_PIDL_saved_j1,1,damage_alpha,tip_4l0_integral,0.00036637857703005004,0.000729017483536154,1.9897928788460812,0.000362638906506104
FEM_c1_mixed_to_PIDL_saved_j1,1,damage_alpha,tip_4l0_mean,0.14631732458052654,0.14487628638744354,0.9901512811472307,-0.0014410381930829996
FEM_c1_mixed_to_PIDL_saved_j1,1,damage_alpha,tip_l0_integral,9.41657408184582e-05,0.00018844814621843398,2.0012389280910825,9.428240539997577e-05
FEM_c1_mixed_to_PIDL_saved_j1,1,damage_alpha,tip_l0_mean,0.5605103179136093,0.5816300511360168,1.037679472700916,0.021119733222407566
FEM_c1_mixed_to_PIDL_saved_j1,1,damage_alpha,top1_mean,0.9974781126446194,0.9709118604660034,0.9733665813396339,-0.026566252178615968
FEM_c1_mixed_to_PIDL_saved_j1,1,alpha_bar,crack_strip_mean,0.011913979947640532,0.013942871242761612,1.170295006709566,0.00202889129512108
FEM_c1_mixed_to_PIDL_saved_j1,1,alpha_bar,domain_mean,0.005233573519053479,0.009575556963682175,1.8296402885755139,0.004341983444628696
FEM_c1_mixed_to_PIDL_saved_j1,1,alpha_bar,max,0.237151637673378,0.8572618961334229,3.6148259592206764,0.6201102584600449
FEM_c1_mixed_to_PIDL_saved_j1,1,alpha_bar,p99,0.08369031079113486,0.07060258835554123,0.8436172322473919,-0.013087722435593627
FEM_c1_mixed_to_PIDL_saved_j1,1,alpha_bar,p999,0.11918672919273376,0.22747796773910522,1.9085846996544096,0.10829123854637146
FEM_c1_mixed_to_PIDL_saved_j1,1,alpha_bar,right_band_mean,0.008561723991086437,0.017167598009109497,2.005156674868588,0.00860587401802306
FEM_c1_mixed_to_PIDL_saved_j1,1,alpha_bar,tip_2l0_integral,3.519760559041192e-05,0.00014033913612365723,3.987178496081751,0.00010514153053324531
FEM_c1_mixed_to_PIDL_saved_j1,1,alpha_bar,tip_2l0_mean,0.05640641590484166,0.111027792096138,1.9683539596531587,0.05462137619129634
FEM_c1_mixed_to_PIDL_saved_j1,1,alpha_bar,tip_4l0_integral,8.004831345588345e-05,0.0003135169972665608,3.9165971615298,0.00023346868381067735
