mode,mode_label,saved_index,fem_cycle,field,metric,FEM_nstep2_projected,PIDL,PIDL_over_FEM
current_active,current active,1,2,psi_raw,p99,157.86733627316562,0.05769124999642372,0.00036544133421366985
current_active,current active,1,2,psi_raw,domain_mean,0.8943307701759456,1.8586064577102661,2.0782092260390574
current_active,current active,1,2,psi_raw,tip_2l0_mean,2.997225525052507,6.683325290679932,2.229837306140935
current_active,current active,1,2,psi_raw,tip_2l0_integral,0.0037884932994378096,0.008447723463177681,2.229837245437724
current_active,current active,1,2,psi_raw,right_band_mean,0.008559840719614705,0.008582347072660923,1.0026292957758718
current_active,current active,1,2,g_alpha,max,1.0000093391442924,1.0002970695495605,1.0002877277181375
current_active,current active,1,2,g_alpha,p999,1.0000088883750615,1.0002667903900146,1.0002578997226437
current_active,current active,1,2,g_alpha,p99,1.0000076790427737,1.000206470489502,1.000198789920212
current_active,current active,1,2,g_alpha,domain_mean,0.988548077901483,0.9894076585769653,1.0008695385633717
current_active,current active,1,2,g_alpha,tip_2l0_mean,0.5557448984461288,0.5462381839752197,0.9828937440586679
current_active,current active,1,2,g_alpha,tip_2l0_integral,0.0007024615953525956,0.0006904450710862875,0.9828936922020961
current_active,current active,1,2,g_alpha,right_band_mean,1.000007417263074,1.0000845193862915,1.000077101551335
current_active,current active,1,2,psi_active,max,0.2571633085059211,0.4221305847167969,1.6414883879403714
current_active,current active,1,2,psi_active,p999,0.10912325263361138,0.11258810013532639,1.031751688279935
current_active,current active,1,2,psi_active,p99,0.03408058094268215,0.03529271110892296,1.0355665934298306
current_active,current active,1,2,psi_active,domain_mean,0.004789459832938539,0.0047852457500994205,0.9991201340054808
current_active,current active,1,2,psi_active,tip_2l0_mean,0.05552929811295059,0.05546240136027336,0.9987952890645014
current_active,current active,1,2,psi_active,tip_2l0_integral,7.01890371828835e-05,7.010447734501213e-05,0.9987952557654974
current_active,current active,1,2,psi_active,right_band_mean,0.008559903904960165,0.008583064191043377,1.002705671271589
current_active,current active,1,2,history_driver,max,0.24511076509952545,0.4221305847167969,1.7222033660797957
current_active,current active,1,2,history_driver,p999,0.1125040277838707,0.11258810013532639,1.0007472830360988
current_active,current active,1,2,history_driver,p99,0.035971394926309165,0.03529271110892296,0.9811326800426685
current_active,current active,1,2,history_driver,domain_mean,0.0048417272905654195,0.0047852457500994205,0.9883344234244545
current_active,current active,1,2,history_driver,tip_2l0_mean,0.056518479629222636,0.05546240136027336,0.9813144607590747
current_active,current active,1,2,history_driver,tip_2l0_integral,7.143936269726357e-05,7.010447734501213e-05,0.981314428042867
current_active,current active,1,2,history_driver,right_band_mean,0.008559890514322111,0.008583064191043377,1.0027072398510812
current_active,current active,2,3,alpha_bar,max,0.7322266101837158,1.2687549591064453,1.7327353874616964
current_active,current active,2,3,alpha_bar,p999,0.3374171853065491,0.34124135971069336,1.0113336681433993
current_active,current active,2,3,alpha_bar,p99,0.10780069455504102,0.10595469176769257,0.982875780207465
current_active,current active,2,3,alpha_bar,domain_mean,0.014517772004083484,0.014359500259160995,0.9890980692575989
current_active,current active,2,3,alpha_bar,tip_2l0_mean,0.16947403792065005,0.1664877086877823,0.982378839440493
current_active,current active,2,3,alpha_bar,tip_2l0_integral,0.00021421519726307688,0.00021044047025498003,0.9823788085237429
