cycle,fem_cycle,pidl_saved_index,pidl_cycle_offset,field,metric,FEM_projected_to_PIDL,PIDL_native,PIDL_over_FEM_projected,FEM_projected_over_PIDL
1,1,0,-1,psi_plus_raw,tip_l0_integral,0.000542525200218012,0.002086835214868188,3.8465221781948564,0.2599751031383088
1,1,0,-1,psi_plus_raw,tip_l0_mean,4.052853775792902,6.658099174499512,1.6428175164540495,0.6087103345223983
1,1,0,-1,psi_plus_raw,top1_mean,582.9489106209047,1713.4730224609375,2.9393193661446255,0.3402148169124118
1,1,0,-1,psi_plus_active,crack_strip_mean,0.007396034082917214,0.007353996858000755,0.9943162478099509,1.0057162418924241
1,1,0,-1,psi_plus_active,domain_mean,0.004869010083024703,0.004809921141713858,0.9878642803561134,1.0122848045882495
1,1,0,-1,psi_plus_active,max,0.24880101566345167,0.3625485301017761,1.4571826772290533,0.6862557561427907
1,1,0,-1,psi_plus_active,p99,0.04066257861503373,0.045090869069099426,1.108903335816201,0.9017918584075288
1,1,0,-1,psi_plus_active,p999,0.11658625720159828,0.150581955909729,1.2915926758789944,0.7742378992041351
1,1,0,-1,psi_plus_active,right_band_mean,0.00907169553983246,0.008618480525910854,0.9500407600837566,1.0525864173573343
1,1,0,-1,psi_plus_active,tip_2l0_integral,2.9560186924215372e-05,7.115962216630578e-05,2.407279167372674,0.41540674366048247
1,1,0,-1,psi_plus_active,tip_2l0_mean,0.05437480125403428,0.056511033326387405,1.0392871702164543,0.9621979647759223
1,1,0,-1,psi_plus_active,tip_4l0_integral,6.54682442180545e-05,0.00015648998669348657,2.3903189792636987,0.4183542065620191
1,1,0,-1,psi_plus_active,tip_4l0_mean,0.0302810252114769,0.031173262745141983,1.029465235322578,0.9713781152470436
1,1,0,-1,psi_plus_active,tip_l0_integral,1.209198260336225e-05,2.9568132958956994e-05,2.4452675734693328,0.4089532003981083
1,1,0,-1,psi_plus_active,tip_l0_mean,0.09033135664696396,0.09433785080909729,1.044353304443236,0.9575303642411687
1,1,0,-1,psi_plus_active,top1_mean,0.07353615281627568,0.08516396582126617,1.1581237603501189,0.8634655761640573
1,1,0,-1,alpha_bar,crack_strip_mean,0.011923035614206805,0.007353996858000755,0.6167889701879405,1.6213000691229804
1,1,0,-1,alpha_bar,domain_mean,0.004984279475972753,0.004809921141713858,0.9650183471654412,1.0362497282433134
1,1,0,-1,alpha_bar,max,0.237151637673378,0.3625485301017761,1.528762498368675,0.654123842694394
1,1,0,-1,alpha_bar,p99,0.0898906469345092,0.045090869069099426,0.5016191406648888,1.9935443425753543
1,1,0,-1,alpha_bar,p999,0.12754232347011749,0.150581955909729,1.180643035290239,0.8469960607137861
1,1,0,-1,alpha_bar,right_band_mean,0.009071681770464591,0.008618480525910854,0.9500422020942951,1.0525848197012477
1,1,0,-1,alpha_bar,tip_2l0_integral,3.0359509176389466e-05,7.115962216630578e-05,2.343898965983498,0.42663954996046555
