cycle,fem_cycle,pidl_saved_index,pidl_cycle_offset,field,metric,FEM_projected_to_PIDL,PIDL_native,PIDL_over_FEM_projected,FEM_projected_over_PIDL
20,20,19,-1,psi_plus_active,max,0.3543703031593508,0.4858240783214569,1.3709503138105645,0.7294210373098745
20,20,19,-1,psi_plus_active,p99,0.034448269077697984,0.03507116064429283,1.0180819409297437,0.982239208650307
20,20,19,-1,psi_plus_active,p999,0.10094192987421853,0.10466504842042923,1.03688376624907,0.9644282537255866
20,20,19,-1,psi_plus_active,right_band_mean,0.008514381324708706,0.00855273474007845,1.0045045451815087,0.9955156547542603
20,20,19,-1,psi_plus_active,tip_2l0_integral,6.160050488950667e-07,1.4345469026011415e-06,2.3287908194491265,0.4294073953093603
20,20,19,-1,psi_plus_active,tip_2l0_mean,0.0009871875204182266,0.0011349262204021215,1.1496561665622604,0.869825282623615
20,20,19,-1,psi_plus_active,tip_4l0_integral,1.7593012511823256e-06,6.455624770751456e-06,3.6694254417275043,0.27252222885586597
20,20,19,-1,psi_plus_active,tip_4l0_mean,0.0007025963534517953,0.0012829143088310957,1.8259620940647476,0.5476564947599293
20,20,19,-1,psi_plus_active,tip_l0_integral,2.4756205865036177e-07,5.857389737684571e-07,2.3660288533781793,0.42264911460070126
20,20,19,-1,psi_plus_active,tip_l0_mean,0.0014735835665008877,0.001807836233638227,1.2268298009939418,0.8151089900080918
20,20,19,-1,psi_plus_active,top1_mean,0.06180364837902216,0.06375300884246826,1.0315411875281424,0.9694232397993494
20,20,19,-1,alpha_bar,crack_strip_mean,0.1672249158961614,0.13418135046958923,0.8024004661656363,1.2462604923182758
20,20,19,-1,alpha_bar,domain_mean,0.09304677093454197,0.09235977381467819,0.9926166473810566,1.0074382720040247
20,20,19,-1,alpha_bar,max,2.532437801361084,3.013373851776123,1.1899103109883113,0.8403994744523422
20,20,19,-1,alpha_bar,p99,0.7233729016780864,0.670995831489563,0.927593264736599,1.0780587117393114
20,20,19,-1,alpha_bar,p999,1.2309208098649989,1.33352530002594,1.0833558823107348,0.9230577101469727
