case,field,metric,PIDL,FEM22_projected,PIDL_over_FEM
coupled_resstiff_c1,eps_xx,domain_mean,-0.0214362740516662,-0.0218981302786282,0.978908873904512
coupled_resstiff_c1,eps_xx,p99,0.0163055174052715,0.0135305384173985,1.2050900638443718
coupled_resstiff_c1,eps_xx,p999,0.0849895551800727,0.0690142624080181,1.2314781353107478
coupled_resstiff_c1,eps_xx,max,0.2964916229248047,1.0241675190627566,0.2894952411653634
coupled_resstiff_c1,eps_xx,min,-0.0975937843322753,-9.563449071720244,0.0102048731164226
coupled_resstiff_c1,eps_yy,tip_2l0_mean,0.8584957122802734,0.8097780429481837,1.0601617563681054
coupled_resstiff_c1,eps_yy,domain_mean,0.1199999898672103,0.1199999981146461,0.9999999312713674
coupled_resstiff_c1,eps_yy,p99,0.2800225019454956,15.265393438747646,0.018343615123258
coupled_resstiff_c1,eps_yy,p999,61.39434814453125,31.14131937123599,1.9714754989231056
coupled_resstiff_c1,eps_yy,max,64.38170623779297,31.8707004189491,2.0200907225595226
coupled_resstiff_c1,eps_yy,min,-0.0197319574654102,-0.018021169429024,1.0949321320752277
coupled_resstiff_c1,eps_xy,tip_2l0_mean,-0.0163132492452859,-3.2275777485674875e-06,5054.3319219889845
coupled_resstiff_c1,eps_xy,domain_mean,-7.034988084342331e-05,-1.4054421895284329e-10,500553.35870504746
coupled_resstiff_c1,eps_xy,p99,0.0717431008815765,0.0697631090879441,1.0283816449627603
coupled_resstiff_c1,eps_xy,p999,0.1711369007825851,0.1605842381250158,1.0657141870259643
coupled_resstiff_c1,eps_xy,max,0.8021470308303833,5.079905997263263,0.1579058807904182
coupled_resstiff_c1,eps_xy,min,-1.5190494060516355,-5.079906200990076,0.2990309950517535
coupled_resstiff_c1,eps_trace,tip_2l0_mean,0.8797801733016968,0.8316985139180442,1.0578114047085945
coupled_resstiff_c1,eps_trace,domain_mean,0.0985637158155441,0.0981018678360179,1.0047078408364067
coupled_resstiff_c1,eps_trace,p99,0.2573858797550201,15.19884645007414,0.016934566751529
coupled_resstiff_c1,eps_trace,p999,61.3880500793457,31.106013573938952,1.9735106825381656
coupled_resstiff_c1,eps_trace,max,64.38351440429688,32.030867179855676,2.0100459360896696
coupled_resstiff_c1,eps_trace,min,-0.0423233360052108,-0.0190075952559709,2.2266538946801084
coupled_resstiff_c1,eps_eq,tip_2l0_mean,0.9579603672027588,0.8817975380089668,1.0863722406911704
coupled_resstiff_c1,eps_eq,domain_mean,0.1320465952157974,0.1313732232742712,1.0051256407108191
coupled_resstiff_c1,eps_eq,p99,0.3117538094520569,15.26583920748479,0.0204216620661905
coupled_resstiff_c1,eps_eq,p999,61.39435195922851,31.141321869303304,1.971475463273327
coupled_resstiff_c1,eps_eq,max,64.38174438476562,34.033600800343166,1.8917112168782464
coupled_resstiff_c1,eps_eq,min,0.0002427487052045,0.0005361438915633,0.4527678278619381
coupled_resstiff_c1,psi_raw,tip_2l0_mean,6.726134777069092,2.8790208175156233,2.3362577776958333
coupled_resstiff_c1,psi_raw,domain_mean,1.858420968055725,0.904806078623728,2.0539439466217013
coupled_resstiff_c1,psi_raw,p99,0.0547182857990264,156.2744430541712,0.0003501422544187
coupled_resstiff_c1,psi_raw,p999,2536.782958984375,651.2774658203125,3.895087872861048
coupled_resstiff_c1,psi_raw,max,2789.97509765625,685.90625,4.067574974941911
coupled_resstiff_c1,psi_raw,min,1.6931604562842043e-08,1.609998321328021e-07,0.1051653553829538
coupled_resstiff_c1,psi_active,max,0.4262044727802276,0.2543282802133734,1.6758044855359988
coupled_resstiff_c1,psi_active,p999,0.1118765249848365,0.1080088495014654,1.035808875858072
coupled_resstiff_c1,psi_active,p99,0.0351918637752532,0.0338852386334613,1.0385603051501515
coupled_resstiff_c1,psi_active,domain_mean,0.0047875232994556,0.0047911518129206,0.9992426636419168
coupled_resstiff_c1,psi_active,tip_2l0_mean,0.0558129698038101,0.0552666962511731,1.0098843171329497
